category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,CHN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSK09A0aKUqIPzkPPeHINoyrDYPLQBkUs34Zg&s,2024-08-10T13:52:15.844014,A large group of people wearing face masks hold small red flags with yellow stars.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://twt-thumbs.washtimes.com/media/image/2022/10/23/China_Party_Congress_What_Next_58702--e7aa9_c0-209-5000-3124_s885x516.jpg?97bb33537ebe846d4c08fcb503d0427a0f3e3c09,2024-08-10T13:52:15.844014,A man in a suit waves his hand in front of a red flag with a yellow symbol.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOo-zuVM5EryCN_V2ZUr0B98Ik2zgoJYJxpg&s,2024-08-10T13:52:15.844014,A group of people in formal attire walk in a line on a red surface.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi4ztFS9zY_jfJpAeOOXSlxgRdK8bzUgRE9A&s,2024-08-10T13:52:15.844014,"A group of people are gathered, some holding flags, others holding signs.",0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iGwwJ76GoI_I/v1/1200x800.jpg,2024-08-10T13:52:15.844014,"A large, rectangular building with a symmetrical facade and many windows stands in front of a paved plaza.",0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://static01.nyt.com/images/2018/07/25/us/00chineseactivists-01/merlin_141610476_62001a13-1e70-40bd-acc6-41bf9dee19c0-articleLarge.jpg?quality=75&auto=webp&disable=upscale,2024-08-10T13:52:15.844014,"Four people sit in chairs, with one person writing on a pad of paper.",0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTL_cLmabpGHl55Wj86RHUEfq_zB8SEUyRUxg&s,2024-08-10T13:52:15.844014,A large building with a symbol on it is in front of multiple red flags waving in the wind.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://www.brookings.edu/wp-content/uploads/2016/09/xi-jinping-reviews-honour-guards.jpg,2024-08-10T13:52:15.844014,A man in a suit walks in front of a line of people in uniform holding weapons.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,"https://bsmedia.business-standard.com/_media/bs/img/article/2023-12/28/full/1703733173-322.jpg?im=FeatureCrop,size=(826,465)",2024-08-10T13:52:15.844014,A building with a symbol on it is partially obscured by red fabric.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQE6ZoNNpcqYX2ibOHWLm3k3oXCQtCjDnHogg&s,2024-08-10T13:52:15.844014,"A group of people, some wearing suits and some wearing traditional clothing, stand in front of a pile of white sacks with red lettering.",0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://d1y8sb8igg2f8e.cloudfront.net/images/shutterstock_116634943.width-800.jpg,2024-08-10T13:52:15.844014,A circular symbol with five stars is displayed on a wall.,0,0,0,0,0,,2024-08-11T16:15:19.037302
PEOPLE,CHN,https://thefederalist.com/wp-content/uploads/2020/04/Screen-Shot-2020-04-07-at-3.57.54-PM-670x300.png,2024-08-10T13:52:15.844014,A man in a dark suit and blue tie stands in front of a blurry background.,0,0,0,0,0,,2024-08-11T16:15:19.037302
