category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
NATUR,EGY,"https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_1024,h_683/https://www.deluxetoursegypt.com/wp-content/uploads/2021/08/ras-shitan-nuweiba.jpg",2024-08-10T01:13:25.337575,A body of water surrounded by brown mountains meets the open ocean.,0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://d1b3667xvzs6rz.cloudfront.net/2020/08/images_13.jpeg-3.jpg,2024-08-10T01:13:25.337575,A rocky shore surrounds a deep blue body of water.,0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,"https://static.wixstatic.com/media/5eff48_80cea2765db9494da1fb1bafa22e5467~mv2.jpeg/v1/fill/w_864,h_576,al_c,lg_1,q_85/5eff48_80cea2765db9494da1fb1bafa22e5467~mv2.jpeg",2024-08-10T01:13:25.337575,"A large, round depression in the ground contains a pool of blue water.",0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://www.egiptoexclusivo.com/wp-content/uploads/2023/06/desierto-arena-egipto-sahara.jpg,2024-08-10T01:13:25.337575,A large expanse of sand dunes in the desert with a rocky hill in the distance.,0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgWKnt95YXNNg6QV_bRuK_EdNYdt1SNDFekA&s,2024-08-10T01:13:25.337575,"A lush, green landscape with a few structures nestled into the hillside.",0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://www.thegef.org/sites/default/files/styles/main_image_content_width/public/2022-11/51731057786_634cf3f2d8_k_UNDP_Flickr_Ras_Mohammed.jpg?h=b6717701&itok=fN2nBa1y,2024-08-10T01:13:25.337575,A person sits on a rocky cliff overlooking a body of water.,0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://www.planetware.com/photos-large/EGY/egypt-white-desert.jpg,2024-08-10T01:13:25.337575,"A large, flat expanse of land with various rock formations of various sizes.",0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA1D3mKQ5dvZzavzgfgR6hVnHxqeTJ0H5MGw&s,2024-08-10T01:13:25.337575,A mountain range with steep slopes covered in lush vegetation.,0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://s3-us-west-2.amazonaws.com/content-markdown-images/egyptian-geography-overview/1542241240064-a78dbd5510163b10.jpeg,2024-08-10T01:13:25.337575,A river with boats and reeds flows through a landscape of sand and trees.,0,0,0,0,0,,2024-08-11T16:16:24.834202
NATUR,EGY,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiGu2YRwoIgna3t-GyPP75iMU_PyUIqj-u1g&s,2024-08-10T01:13:25.337575,A large body of water with several boats docked near a sandy shore.,0,0,0,0,0,,2024-08-11T16:16:24.834202
