category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
DANCE,FRA,https://static01.nyt.com/images/2019/02/27/arts/27BAROQUE-CHRISTIE1/merlin_151250727_76f98d67-210e-4b95-9dd0-d3cbdf55f317-superJumbo.jpg,2024-08-10T02:19:08.705601,Four performers are leaping and twirling on a stage.,0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://brooklynrail.imgix.net/content/article_image/image/38952/breyer-coates-4.jpg?w=575&q=80&fit=max,2024-08-10T02:19:08.705601,"Two people are dancing on a stage, with a blurry image of two more people dancing in the background.",0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://brooklynrail.imgix.net/content/article_image/image/38954/breyer-coates-6-a.jpg?w=575&q=80&fit=max,2024-08-10T02:19:08.705601,A group of shirtless individuals are jumping in the air with their legs spread apart.,0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://static01.nyt.com/images/2019/02/27/arts/27BAROQUE-CHRISTIE2/merlin_151250733_43a75b9c-ef94-4048-b2a6-406c4de568c7-articleLarge.jpg?quality=75&auto=webp&disable=upscale,2024-08-10T02:19:08.705601,"Two people are performing on a stage, one holding a flower towards the other.",0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,"https://media.newyorker.com/photos/5a7381cc5e4ebe6f9f6d75aa/1:1/w_1600,h_1600,c_limit/Harss-Caught-Between-Algeria-and-France-in-Dance.jpg",2024-08-10T02:19:08.705601,A group of shirtless men in white pants are performing a dance together.,0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://storage.googleapis.com/rail-legacy-media/production/content/article_image/image/38949/breyer-coates-1-a.jpg,2024-08-10T02:19:08.705601,"Four people are performing a dance routine in front of a white, blocky structure.",0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://brooklynrail.imgix.net/content/article_image/image/38955/breyer-coates-7.jpg?w=575&q=80&fit=max,2024-08-10T02:19:08.705601,Two people are performing on a stage in front of a dark backdrop.  They are in a close embrace. One person is holding the other person in the air.  There is a chair and a stool near them.,0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://i0.wp.com/blog.artsper.com/wp-content/uploads/2021/06/cody-choi.jpeg?resize=644%2C430&ssl=1,2024-08-10T02:19:08.705601,"Three women are suspended in mid air, all wearing dark dresses.",0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://www.lingoda.com/blog/wp-content/uploads/2022/06/what-are-the-different-french-dance-styles-1-e1654179818381.jpg,2024-08-10T02:19:08.705601,A person with long legs wearing a layered skirt dances on a stage.,0,0,0,0,0,,2024-08-11T16:17:18.463041
DANCE,FRA,https://static01.nyt.com/images/2024/08/09/multimedia/SAIDO-OLYMPIAD--05-jzhb/SAIDO-OLYMPIAD--05-jzhb-threeByTwoMediumAt2X.jpg?auto=webp,2024-08-10T02:19:08.705601,A group of people move in a darkened space lit by a single spotlight.,0,0,0,0,0,,2024-08-11T16:17:18.463041
