category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
NATUR,FRA,https://image.jimcdn.com/app/cms/image/transf/none/path/sa6549607c78f5c11/image/i16dccf5ce0ce52dd/version/1586510600/best-natural-wonders-in-france-verdon-gorge-copyright-ivica-drusany-european-best-destinations.jpg,2024-08-10T02:29:39.027100,"A body of blue water flows between two steep, rocky, green hills.",0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://image.jimcdn.com/app/cms/image/transf/none/path/sa6549607c78f5c11/image/ic7a0751b846f983d/version/1586611112/best-nature-wonders-in-france-lake-blanc-copyright-creative-travel-project-european-best-destinations.jpg,2024-08-10T02:29:39.027100,A body of water sits between a field of pink flowers and snow-capped mountains.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://cdn-cms.bookingexperts.nl/media/870/63/optimized.jpg,2024-08-10T02:29:39.027100,"A long, winding canyon cuts through a vast, rocky landscape.",0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://image.jimcdn.com/app/cms/image/transf/none/path/sa6549607c78f5c11/image/iad40ce8009089dd9/version/1586528241/best-nature-wonders-in-france-orgue-de-ille-sur-tet-copyright-gennady-stetsenko-european-best-destinations.jpg,2024-08-10T02:29:39.027100,"Tall, narrow rock formations rise from a grassy valley covered in green trees and bushes.",0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://image.jimcdn.com/app/cms/image/transf/none/path/sa6549607c78f5c11/image/ia3a7794d908d32ad/version/1586611067/best-nature-wonders-in-france-roussillon-red-ochres-rock-copyright-ermess-european-best-destinations.jpg,2024-08-10T02:29:39.027100,"A lush, green forest slopes down to a cliff face with streaks of red and orange.",0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://cdn-cms.bookingexperts.nl/media/869/86/preprocessed.jpg,2024-08-10T02:29:39.027100,A body of water flows through a narrow canyon between two steep cliffs.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://www.explorenicecotedazur.com/content/uploads/2021/10/nature.jpg,2024-08-10T02:29:39.027100,A blue river flows through a green valley surrounded by white rocks.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://image.jimcdn.com/app/cms/image/transf/none/path/sa6549607c78f5c11/image/i27ea1f26e9360d8e/version/1586528477/best-nature-wonders-in-france-morgat-ile-vierge-crozon-copyright-andre-quinou-european-best-destinations.jpg,2024-08-10T02:29:39.027100,A rocky cliff with vegetation overlooks a cove of turquoise water.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://media.timeout.com/images/105679173/750/562/image.jpg,2024-08-10T02:29:39.027100,"A winding river flows through a green valley, past a small village built into a cliff.",0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://image.jimcdn.com/app/cms/image/transf/none/path/sa6549607c78f5c11/image/i6de10a2b70b8d17e/version/1586528731/best-nature-wonders-in-france-plateau-de-valensole-copyright-francois-roux-european-best-destinations.jpg,2024-08-10T02:29:39.027100,"A single structure sits in a field of purple, flowering plants in front of rolling hills.",0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/07/17/caption.jpg?w=500&h=400&s=1,2024-08-10T02:29:39.027100,A turquoise body of water flows between two rocky cliffs covered in green vegetation.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://media.timeout.com/images/105678785/750/562/image.jpg,2024-08-10T02:29:39.027100,A path leads into a valley with a green grassy area and a large mountain in the background.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://cdn.prod.website-files.com/62d6dee53062554a34a0c24e/62e960ccb44ebc0c4622dd82_gorges-dpi-800-g.webp,2024-08-10T02:29:39.027100,A narrow body of water flows through a canyon with steep rocky walls and green vegetation.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://cdn.prod.website-files.com/62d6dee53062554a34a0c24e/62edccb6dd39ffabcce89399_thibse-com-uui70r1aes-unsplash.webp,2024-08-10T02:29:39.027100,A view from a high cliff overlooking a bay of blue water and white cliffs.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://www.atlasandboots.com/wp-content/uploads/2017/10/Natural-wonders-in-France-Etretat-Cliffs.jpg,2024-08-10T02:29:39.027100,A large cliff with a hole in the middle juts out into a blue body of water.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://media.cntraveler.com/photos/654071cbb357137cbaa77240/master/w_320%2Cc_limit/Canal-du-Midi-GettyImages-92946849.jpg,2024-08-10T02:29:39.027100,A narrow waterway flows through a tunnel of lush trees.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://i.pinimg.com/originals/1c/0a/07/1c0a071ee79078ebb60b1af6d8db300d.jpg,2024-08-10T02:29:39.027100,A natural rock archway frames a body of water surrounded by green vegetation.,0,0,0,0,0,,2024-08-11T16:17:28.665113
NATUR,FRA,https://d2bgjx2gb489de.cloudfront.net/gbb-blogs/wp-content/uploads/2021/08/23124714/Verdon-River.jpg,2024-08-10T02:29:39.027100,"A river winds through a steep, narrow valley surrounded by green vegetation and cliffs.",0,0,0,0,0,,2024-08-11T16:17:28.665113
