category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
RELIG,FRA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo1hYZP2Z7gPIM7l3zGpl0oISXA3sGKITKgQ&s,2024-08-10T02:40:11.692538,"A group of people in similar outfits are marching down a street, carrying a flag and playing instruments.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://frenchmoments.eu/wp-content/uploads/2014/02/Fete-du-Citron-56-LR-%C2%A9-Ville-de-Menton.jpg,2024-08-10T02:40:11.692538,A large sculpture made of fruit is displayed in front of two flags.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://frenchmoments.eu/wp-content/uploads/2014/02/Menton-Lemon-Festival-34-%C2%A9-Office-de-Tourisme-de-Menton.jpg,2024-08-10T02:40:11.692538,"A large crowd watches a parade featuring a large, animal-shaped structure made of citrus fruits.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://www.americamagazine.org/sites/default/files/main_image/2024/08/06/webRNS-Olympics-Greek-Gods1.jpg.jpg,2024-08-10T02:40:11.692538,A group of people are performing on stage with various colorful outfits and decorations.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYMQ6BOIE7LrxiBi5ubTwWAL4peF4ga2qLJA&s,2024-08-10T02:40:11.692538,"A group of people are gathered around a central figure, with rays of light emanating from above.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://miro.medium.com/v2/resize:fit:474/1*rEA9fnalhKobC83U_Hye6A.jpeg,2024-08-10T02:40:11.692538,A large crowd of people gathers in front of a monumental archway.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://www.gosouthfrance.com/images/tourism/menton-lemon-festival-france.jpg,2024-08-10T02:40:11.692538,"A large, blue, human-like figure covered in small, round, yellow and orange objects holds a long, thin object in its hand.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://www.brittanyholidayguide.com/images/lorientfestival.jpg,2024-08-10T02:40:11.692538,"A large group of people in similar clothing march down a street, playing musical instruments.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://images.jacobinmag.com/wp-content/uploads/2018/11/02144515/fig-5-720x470.jpg,2024-08-10T02:40:11.692538,A large group of people are gathered in front of a building and look up at a figure sitting on a platform in the sky.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://www.lelongweekend.com/wp-content/uploads/2019/08/Depositphotos_141247564_l-2015.jpg,2024-08-10T02:40:11.692538,A large stone structure is surrounded by people and tents.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://www.offbeatfrance.com/images/french-holidays-bastille-parade.jpeg,2024-08-10T02:40:11.692538,A group of people in uniform ride horses in a parade.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://media.sciencephoto.com/c0/47/38/17/c0473817-800px-wm.jpg,2024-08-10T02:40:11.692538,A large group of people are gathered in front of a building with many standing in the foreground.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://anglophone-direct.com/ap_img/IMG_0464.jpg,2024-08-10T02:40:11.692538,A group of figures with long robes and halos stand together holding various objects.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://imageio.forbes.com/specials-images/imageserve/1067412210/FRANCE-TRADITION-RELIGION-TOURISM-CULTURE-CHRISTMAS/960x0.jpg?height=474&width=711&fit=bounds,2024-08-10T02:40:11.692538,A group of people wearing festive attire are standing in front of an ornate structure with a large red orb on top.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://socialchangecourse.wordpress.com/wp-content/uploads/2014/09/wik_the-cult-of-reason_1793.jpg,2024-08-10T02:40:11.692538,A group of people are gathered around a seated figure on a platform.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjt3ELGIuG-A9hAL7u1ttdMUua4XBIPhg7_w&s,2024-08-10T02:40:11.692538,"A large crowd gathers around a towering, illuminated figure in front of a ferris wheel.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://images.news18.com/ibnlive/uploads/2023/05/untitled-design-169-16847811063x2.png?impolicy=website&width=640&height=480,2024-08-10T02:40:11.692538,"A group of people are lying down, some on top of each other.",0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://cdn.thecollector.com/wp-content/uploads/2022/11/king-louis-xvi-portrait-callet.jpg,2024-08-10T02:40:11.692538,A man in elaborate clothing and a crown stands in front of a golden throne.,0,0,0,0,0,,2024-08-11T16:17:40.164122
RELIG,FRA,https://www.discoverfrance.net/France/Images/Food/Baked_Goods/galette_des_rois-01-lg.jpg,2024-08-10T02:40:11.692538,A pastry with a flaky crust is sliced and arranged on a plate with small decorative figures.,0,0,0,0,0,,2024-08-11T16:17:40.164122
