category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CLOTH,IND,https://www.hatkay.com/cdn/shop/articles/Make-a-Fashion-Statement-Wearing-Different-Types-of-Traditional-Indian-Dresses-for-Women.jpg?v=1677060396,2024-08-10T11:40:50.361953,"Five women are wearing long, colorful, patterned garments.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://images.memphistours.com/large/03c4834de0b924e0da494a2e5c3d750e.jpg,2024-08-10T11:40:50.361953,"A person is wearing a long, patterned garment with a sheer overlay.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://m.media-amazon.com/images/I/61v-6dwv7SL._AC_UY1000_.jpg,2024-08-10T11:40:50.361953,A man wearing a white long-sleeved shirt and pants is standing with his hands by his sides.,0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://www.hatkay.com/cdn/shop/articles/Style-Tips-to-Follow-When-You-Are-Wearing-Traditional-Indian-Clothes.jpg?v=1662208510,2024-08-10T11:40:50.361953,"Five women are wearing different styles of long, flowing dresses.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://cdn.shopify.com/s/files/1/1762/5129/files/history-of-indian-clothing.jpg?v=1609544758,2024-08-10T11:40:50.361953,"Seven people wearing long, flowing garments stand in a row.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://www.peopleareculture.com/wp-content/uploads/2023/03/traditional-indian-clothing-gowns-lehengas.webp,2024-08-10T11:40:50.361953,"Two women are wearing different, colorful, and patterned outfits with long, translucent fabric drapes.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://assets0.mirraw.com/images/12415408/2668581_1_long_webp.webp?1714056375,2024-08-10T11:40:50.361953,"A woman is wearing a long, dark blue dress with a white sheer shawl decorated with embroidery.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://utsavfashions.wordpress.com/wp-content/uploads/2014/11/uac17-superenlarge.jpg,2024-08-10T11:40:50.361953,"A young person is wearing a long, patterned garment with decorative trim.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://cdn.shopify.com/s/files/1/1762/5129/files/women-in-patiala-salwar-from-punjab.jpg?v=1654655251,2024-08-10T11:40:50.361953,A person is wearing a red outfit with gold embellishments.,0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://miro.medium.com/v2/resize:fit:272/1*LoUmfLRPWaU7MsFTCYiHFw.jpeg,2024-08-10T11:40:50.361953,"A man wearing a long, embroidered garment and a head covering stands against a textured background.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://www.chirosbyjigyasa.com/cdn/shop/products/kessi-lymi-vintage-muslin-kurti-3123_9e8fd3c4-b759-4903-b7a2-cb5131578bcd.jpg?v=1648173129,2024-08-10T11:40:50.361953,"A woman wearing a light blue top, yellow jacket, and light blue pants stands in front of a wooden wall.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://i.pinimg.com/736x/ff/89/92/ff89921ae6681cdad0a3c369f7467b93.jpg,2024-08-10T11:40:50.361953,"A man is wearing a long, embellished garment and matching pants.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://shopee.com.my/blog/wp-content/uploads/2021/09/deepavali-outfit-feature-edit.jpg,2024-08-10T11:40:50.361953,"A woman in a long, brightly colored garment stands next to a man in a long, dark blue garment.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://images.squarespace-cdn.com/content/v1/5cef59143a338800015c3e6d/1559276317048-LS4METP75FNP17IIL8SB/IMG_0726.jpg,2024-08-10T11:40:50.361953,A man wearing a patterned robe stands in a room with ornate furniture and a red patterned rug.,0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://i.pinimg.com/474x/1c/fd/49/1cfd49c1449e5263428bb5c0c4da2bac.jpg,2024-08-10T11:40:50.361953,"A man is wearing a long, embroidered garment with a red sash.",0,0,0,0,0,,2024-08-11T16:18:12.736725
CLOTH,IND,https://assets0.mirraw.com/images/10042537/1_(1)_long_webp.webp?1688214265,2024-08-10T11:40:50.361953,A woman is standing in front of a green background wearing a layered yellow dress with embellishments.,0,0,0,0,0,,2024-08-11T16:18:12.736725
