category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,IND,https://media.istockphoto.com/id/1434929987/photo/indian-girl-using-a-digital-tablet-at-metro-station-india.jpg?s=612x612&w=0&k=20&c=llCA355yUmwLUyl9pumMXs5wrWayLnEGYa4hL3YJcrU=,2024-08-10T12:24:09.253868,A person stands in front of a train in motion.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://borgenproject.org/wp-content/uploads/Hunger-in-India-1.jpg,2024-08-10T12:24:09.253868,A family is gathered around a cooking fire in a makeshift shelter.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://media.istockphoto.com/id/1427221641/photo/man-training-with-battle-rope-in-gym-gym.jpg?s=612x612&w=0&k=20&c=sh4m1EyXibIqPKPyFFeKGpmNhcg5eNtDBxXraG_uDDo=,2024-08-10T12:24:09.253868,A person is pulling on two ropes attached to a metal bar.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://www.who.int/images/default-source/searo---images/campaigns-and-events/international-women-s-day-2022/image-2-high.jpg?sfvrsn=4e8f63cb_4,2024-08-10T12:24:09.253868,"A group of people stand around a well pump, some holding documents.",0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS833-pKAjtA4Q0wWnI3-HjJNYZFuVPD2QD3g&s,2024-08-10T12:24:09.253868,"The image shows a collage of photos depicting a group of people participating in a conference, both in person and online.",0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://www.science.org/do/10.1126/science.zt78gq7/full/_20240315_on_india_caste_survey-1711563267313.jpg,2024-08-10T12:24:09.253868,Three people are standing around a table with papers on it.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcF4bckcbzY5oQncKhR1r9-MjqA2HY2cwDEA&s,2024-08-10T12:24:09.253868,"A group of people are breaking clay pots, sending shards and dust flying into the air.",0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://indiaclimatedialogue.net/wp-content/uploads/2018/11/SS.jpg,2024-08-10T12:24:09.253868,A man with dark hair and a beard looks at the camera.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://impactalpha.com/wp-content/uploads/2024/05/shutterstock_259867799.jpg,2024-08-10T12:24:09.253868,A group of people are gathered around a table with papers on it.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://www.fides.org/app/webroot/files/appendeds/176/primopiano_17653.jpg,2024-08-10T12:24:09.253868,"A group of people, mostly women, are gathered in a room with a man standing in the doorway.",0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://theindianeye.com/wp-content/uploads/2023/04/Science-Group.jpg,2024-08-10T12:24:09.253868,Four people in formal attire stand in front of a patterned wall.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://www.climatescorecard.org/wp-content/uploads/2022/06/india-52.png,2024-08-10T12:24:09.253868,A large group of people are standing together in an interior space.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://assets.telegraphindia.com/telegraph/897de5d3-684b-4a00-bacd-9fa5931349c5.jpg,2024-08-10T12:24:09.253868,A woman with long blonde hair speaks into a microphone.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://watson.brown.edu/southasia/files/southasia/styles/standardimage/public/imce/news/2020/LockDown%20and%20Migrant%20Workers.png?itok=0NoLJtmc,2024-08-10T12:24:09.253868,A group of people walk along a road wearing face coverings and carrying bags.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://media.licdn.com/dms/image/D4D12AQEzQqSuShpkAg/article-cover_image-shrink_720_1280/0/1719402431557?e=2147483647&v=beta&t=-O_WOU9rVIF4s4CKBh0EKgMmn_vDEDHWjhCtJh1ey_E,2024-08-10T12:24:09.253868,People are working on a table with colorful toys and wooden objects.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-sHJjO_h-5y_IMeAzwcEBQxYMcTtOKN6dYA&s,2024-08-10T12:24:09.253868,"A group of people, mostly children, are standing in a line, all wearing masks and raising their hands in the air.",0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://actionforindia.org/assets/img/afi-page-about-6.jpg,2024-08-10T12:24:09.253868,A group of people are sitting around a long table in a room with large windows.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://www.povertyactionlab.org/sites/default/files/styles/full_width_medium_cropped/public/images/2024/07/India_South%20Asia_Every_Child_Counts_Education.jpg?itok=3W-1z4HF,2024-08-10T12:24:09.253868,Four people are gathered around a table working on a project with lines and shapes on paper.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://images.indianexpress.com/2021/11/young-climate-activists.jpg?w=414,2024-08-10T12:24:09.253868,Three people with different hair colors and clothing are looking at the camera.,0,0,0,0,0,,2024-08-11T16:18:39.925702
PEOPLE,IND,https://assets.editorial.aetnd.com/uploads/2022/10/gettyimages-548201769.jpg,2024-08-10T12:24:09.253868,A group of people with long hair raise their fists in the air.,0,0,0,0,0,,2024-08-11T16:18:39.925702
