category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
TOOLS,IND,"https://m.media-amazon.com/images/I/51pkdggjLhL._AC_UF894,1000_QL80_.jpg",2024-08-10T12:46:08.558025,Five metal utensils with handles.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/a3e251df-93eb-429e-a468-d10134fd134b._SL480_.jpg,2024-08-10T12:46:08.558025,A flat surface with four kitchen utensils with wooden handles and a bowl of red fruit.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/kitchen_utilities_tools.jpg,2024-08-10T12:46:08.558025,Five silver kitchen tools are isolated on a white background.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,w_730/k%2FChapati-Chakla",2024-08-10T12:46:08.558025,A round wooden board and a wooden rolling pin lie next to each other.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsfQxOQzo5ez4fmKhKrKGWfB0-MfKiU3XjTw&s,2024-08-10T12:46:08.558025,A set of red kitchen utensils are displayed with a package behind them.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.ebayimg.com/images/g/hSMAAOSw8u9ik9F7/s-l1200.webp,2024-08-10T12:46:08.558025,Four metal utensils with long handles lay on a light surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqWWeMrWe8Hbkao6_tZyBf4yFT4TYCw9fKUw&s,2024-08-10T12:46:08.558025,A group of seven utensils made of wood with various shapes and sizes.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://static.toiimg.com/thumb/resizemode-4,width-1280,height-720,msid-95583517/95583517.jpg",2024-08-10T12:46:08.558025,The image shows various kitchen tools and cookware.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://s.alicdn.com/@sc04/kf/HTB1YN93bcfrK1Rjy1Xdq6yemFXaJ.jpg_720x720q50.jpg,2024-08-10T12:46:08.558025,Several kitchen utensils with different shapes and functions are arranged on a white surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,w_730/k%2FSpice-Box",2024-08-10T12:46:08.558025,"A circular container with a lid and a smaller lid divided into sections, containing different colored powders.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://s.alicdn.com/@sc04/kf/H732b904f42fe4735913a663f78826d20z.jpg_300x300.jpg,2024-08-10T12:46:08.558025,"Three metallic utensils with textured handles are displayed on a flat, light-colored surface.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.etsystatic.com/13522559/r/il/03574c/3570484194/il_570xN.3570484194_dzik.jpg,2024-08-10T12:46:08.558025,Wooden kitchen utensils are arranged on a wooden surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.etsystatic.com/10919416/r/il/9c3e55/4330071897/il_300x300.4330071897_sb4d.jpg,2024-08-10T12:46:08.558025,Six metallic utensils with various shapes and functions hang from a metal bar.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://static.toiimg.com/photo/86957499/86957499.jpg,2024-08-10T12:46:08.558025,Various metal kitchen tools hang on a hook.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://cdn.shopify.com/s/files/1/1410/1430/files/Khal-Dasta-Ural-Set-Small_480x480.jpg?v=1639998512,2024-08-10T12:46:08.558025,"A rough, gray, cylindrical object with a smaller, cylindrical piece next to it.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://cdn.apartmenttherapy.info/image/upload/v1570560473/k/Mortar-and-pestle.jpg,2024-08-10T12:46:08.558025,"A bowl with a long, narrow handle.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://www.desiclik.com/images/C/catg_utensils.jpg,2024-08-10T12:46:08.558025,"A set of shiny, smooth eating utensils is displayed on a white background.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1PqydNQXppC9VKc51E_p60LYm1lNCRFNVlw&s,2024-08-10T12:46:08.558025,"A collection of seven kitchen utensils with different functions, each with a colorful handle.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://www.saveur.com/uploads/2019/03/18/EY4YSBEVXBTFNNQ4YDX6QOM6BA.jpg?auto=webp,2024-08-10T12:46:08.558025,A metal utensil with a perforated round head and a black handle lies on a white surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://m.media-amazon.com/images/I/31zuIDXmpLS.jpg,2024-08-10T12:46:08.558025,"A kitchen utensil with a long handle and a flat, slotted head.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.ytimg.com/vi/st1lOntyoXA/maxresdefault.jpg,2024-08-10T12:46:08.558025,"Several metal bowls are arranged on a tiled surface, with a metal rod and wooden-handled implement lying across them.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.ebayimg.com/images/g/6JkAAOSwX0hjB2tL/s-l400.jpg,2024-08-10T12:46:08.558025,"A long, thin, metallic spoon with a rounded bowl.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://s.alicdn.com/@sc04/kf/S18ea398bef83438ca02bb92e437beaf8U.jpg_300x300.jpg,2024-08-10T12:46:08.558025,Five wooden utensils of varying shapes and sizes are arranged on a white background.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://www.jiomart.com/images/product/original/rv9hxdz8rz/maahil-5-pcs-kitchen-tool-set-nylon-heat-resistant-nonstick-serving-spoon-spatula-pasta-server-deep-ladle-turner-scoop-kitchen-serving-utensil-tools-product-images-orv9hxdz8rz-p595313080-0-202211141847.jpg?im=Resize=(420,420)",2024-08-10T12:46:08.558025,A flat surface with six kitchen utensils laid out.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://s.alicdn.com/@sc04/kf/UTB8Tq97JyDEXKJk43Oqq6Az3XXae.jpg_300x300.jpg,2024-08-10T12:46:08.558025,"A set of ten shiny, metallic tools with long handles are arranged in a semi-circle on a white background.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://images.slurrp.com/prod/rich_article/eys5udxrazm.webp?impolicy=slurrp-20210601&width=880&height=500,2024-08-10T12:46:08.558025,Five metal utensils hang from a metal bar.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQACbR6-XoPRS6tRkEUtakWNdDH_E-KGYl6Lg&s,2024-08-10T12:46:08.558025,A set of six kitchen utensils with colorful handles arranged in a circle around a clear object.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.etsystatic.com/18977571/r/il/ed9232/2014043913/il_570xN.2014043913_f5ly.jpg,2024-08-10T12:46:08.558025,A silver utensil with a circular perforated head and a long handle.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://m.media-amazon.com/images/I/71w7PPznVRL._AC_UF894,1000_QL80_.jpg",2024-08-10T12:46:08.558025,Five differently shaped utensils made of iridescent metal are arranged on a white surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://thumbs.dreamstime.com/b/metal-utensils-sell-street-market-rural-indian-village-cooking-utensils-generally-made-up-metals-sell-indian-rural-250189296.jpg,2024-08-10T12:46:08.558025,A collection of various metal objects laid out on a white surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://cdn.apartmenttherapy.info/image/upload/v1570560510/k/Tadka-pan.jpg,2024-08-10T12:46:08.558025,"A black, round cooking pan with a thin, silver handle.",0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://m.media-amazon.com/images/I/413hRa6lz-L._AC_UF894,1000_QL80_.jpg",2024-08-10T12:46:08.558025,A group of six wooden utensils with different shapes and sizes.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,"https://content.jdmagicbox.com/rep/b2b/stainless-steel-kitchen-tool/stainless-steel-kitchen-tool-2.jpg?impolicy=queryparam&im=Resize=(360,360),aspect=fit",2024-08-10T12:46:08.558025,A set of kitchen utensils with long handles and various shapes is arranged in a cylindrical holder.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://s.alicdn.com/@sc04/kf/S531c126eb2ae4f43870b19c6730b5c81r.jpg_300x300.jpg,2024-08-10T12:46:08.558025,The image shows a variety of metal cooking tools and utensils.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://cdnimg.webstaurantstore.com/uploads/seo_category/2021/8/kitchen-hand-tools-kitchen-utensils.jpg,2024-08-10T12:46:08.558025,Four kitchen utensils lie on a flat surface.,0,0,0,0,0,,2024-08-11T16:18:51.541717
TOOLS,IND,https://i.etsystatic.com/16151001/r/il/4a156c/3404386748/il_570xN.3404386748_cqdy.jpg,2024-08-10T12:46:08.558025,"A long, handled utensil with a perforated, round bowl.",0,0,0,0,0,,2024-08-11T16:18:51.541717
