category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CITIES,JOR,https://i.ytimg.com/vi/7udE910hE00/sddefault.jpg,2024-08-10T17:02:04.920825,An aerial view of a city with a roundabout in the center and buildings all around it.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://www.middleeasteye.net/sites/default/files/styles/max_2600x2600/public/images-story/2019-02-12T000000Z_918761862_MT1NURPHO00070XP01_RTRMADP_3_JORDAN-DAILY-LIFE.jpg?itok=U2ADLAvG,2024-08-10T17:02:04.920825,A view of a city with tall buildings and a densely populated area.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://cdn.pixabay.com/photo/2019/07/10/19/10/amman-4329316_1280.jpg,2024-08-10T17:02:04.920825,A view of a city with many buildings and a tall tower in the center.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://earlywarningproject.ushmm.org/storage/resources/101/photo-Jordan-LeonidAndronov-Dreamstime.jpg,2024-08-10T17:02:04.920825,"A densely packed cityscape with a multitude of buildings, vegetation, and other structures.",0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://i.pinimg.com/originals/04/17/38/04173837af6e02c519a63fe155a41979.jpg,2024-08-10T17:02:04.920825,A city at dusk with multiple roads and buildings.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://media.istockphoto.com/id/1303728361/photo/full-moon-above-modern-buildings-in-the-new-downtown-of-amman-city.jpg?s=612x612&w=0&k=20&c=FjQKABZflQcZWfOM4f9V5FuCoCR9HP5pYXeLbQeTYxw=,2024-08-10T17:02:04.920825,A full moon hangs over a city lit with twinkling lights under a starry sky.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl2cP0PU5QZbcmnZwqqe3OmQESBDSdp6WQIA&s,2024-08-10T17:02:04.920825,"A city at night, with many buildings lit up.",0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://media.istockphoto.com/id/1090175780/photo/amman-skyline.jpg?s=612x612&w=0&k=20&c=HUBVn4jjPaaxkYCsI4XyQ6Y3VwnDYBr2BfBGuqvUFis=,2024-08-10T17:02:04.920825,A city with tall buildings surrounded by smaller structures and green trees.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,"https://media.cntraveler.com/photos/614a01e5d4cb4c568961dd1a/4:3/w_2648,h_1986,c_limit/Amman,%20Jordan_GettyImages-598060876.jpg",2024-08-10T17:02:04.920825,A densely populated urban area with numerous buildings in close proximity.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYfLN4YBSCRNn0bYmj0DWHGkAa8NjDx2_XvQ&s,2024-08-10T17:02:04.920825,An aerial view of a large city with many tall buildings.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://cdn.kimkim.com/files/a/images/8adffe6d3f231e24e08b0c00b39029262b3f3047/original-f9cc3b6a1a6270b749a8cfc65e62fa7a.jpg,2024-08-10T17:02:04.920825,"A city with a long road lined by buildings and trees, with mountains in the background and a colorful sky above.",0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://en.ammonnews.net/img/big/20171171420RN990.jpeg?medium,2024-08-10T17:02:04.920825,A tall building stands in the center of a city at dusk.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://images.squarespace-cdn.com/content/v1/5856bc666a49634cd55b0ba9/898770a8-4fff-4331-bd30-b9fc001ffa89/best-things-to-do-amman-jordan.jpeg,2024-08-10T17:02:04.920825,"An aerial view of a large city with a large, round, open-air structure.",0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://www.wheretonexttravelblog.com/wp-content/uploads/2017/09/Amman-Jordan-City-View.jpg,2024-08-10T17:02:04.920825,A densely packed urban area with a flagpole in the distance.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://mlrhpz8jmuut.i.optimole.com/cb:Ie5o.50122/w:auto/h:auto/q:mauto/f:best/ig:avif/https://www.egypttoursplus.com/wp-content/uploads/2014/04/Downtown-Amman-Jordan.jpg,2024-08-10T17:02:04.920825,A city with many buildings and roads seen from a high vantage point.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://www.aljazeera.com/wp-content/uploads/2005/10/137bec8f-88ca-49a6-b505-a79897c793e80153065e77094ee9845d17179ac5fa68.jpeg?resize=1200%2C675,2024-08-10T17:02:04.920825,"A tall, rectangular building sits at the edge of a city with a curved elevated road.",0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://i.ebayimg.com/images/g/UuUAAOSweB9dnQNf/s-l1200.jpg,2024-08-10T17:02:04.920825,A pair of black and gold shoes are resting on an edge.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://www.retalkmena.com/sites/default/files/styles/article-full/public/11863097485_54ae5b6b48_k.jpg,2024-08-10T17:02:04.920825,A dense urban area with many buildings and a blue sky.,0,0,0,0,0,,2024-08-11T16:19:22.262856
CITIES,JOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDO5DdT02PfWIQsY3ZqZHn6KbMSKhiHgRfqA&s,2024-08-10T17:02:04.920825,"A city with tall buildings and a large roundabout in the center, illuminated at dusk.",0,0,0,0,0,,2024-08-11T16:19:22.262856
