category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,KOR,https://images.summitmedia-digital.com/cosmo/images/2024/02/29/action-k-dramas-a4436-20220819-lfrm-1709205752.jpg,2024-07-02T12:35:11.054079,"Three people are shown, two are yelling with their mouths open, one is looking seriously to the side.",0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://i.insider.com/5e5f8f08fee23d6d3953cca4?width=700,2024-07-02T12:35:11.054079,A group of people in white protective suits with red hoses walk across a street.,0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://variety.com/wp-content/uploads/2023/07/Smugglers-90cbef1bf4084ca7b00151fb0dff6077-cr-res.jpg?w=1000&h=563&crop=1,2024-07-02T12:35:11.054079,"Six people are seated in a boat on the water, repairing fishing nets.",0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://www.denofgeek.com/wp-content/uploads/2022/09/Best-Korean-Action-Movies.jpg?fit=1200%2C675,2024-07-02T12:35:11.054079,"Four people are pictured, all with serious expressions and wearing dark clothing.",0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://d1nslcd7m2225b.cloudfront.net/Pictures/480xany/5/9/9/1424599_escape_778364.jpg,2024-07-02T12:35:11.054079,"Two men stand facing each other, one with dirt on his face.",0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://www.peaceaction.org/wp-content/uploads/2018/02/winter_2014_candidate_city-_pyeongchang_olympic_village-1.jpg,2024-07-02T12:35:11.054079,A large group of people stand around the perimeter of a large blue shape on a white surface.,0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://i.guim.co.uk/img/media/bd8b091889cf165fa41f5a2fbd92f69241f2e11d/0_600_4000_2400/master/4000.jpg?width=465&dpr=1&s=none,2024-07-02T12:35:11.054079,A large piece of machinery is partially submerged in water with multiple people standing in the water around it.,0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://lh4.googleusercontent.com/proxy/knKg9gKOB9Jw6TIk45DA4YepP6QQJP0BDLToyxI475U-qy_8-amaSASZNLLznwIBsL1WTmL1fC3AiJsCqcb3BlNFK8p-elgiEN_Ooud8O5vRkcg1Jr4BVltRpUi-CcbPY9gPmUTj,2024-07-02T12:35:11.054079,A group of people are walking across a street with black and white markings.,0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://www.aljazeera.com/wp-content/uploads/2023/08/33RE2WP-highres-1692320427.jpg?resize=770%2C513&quality=80,2024-07-02T12:35:11.054079,"A large room with a circular table and many seats, featuring a screen displaying a person in front of a large group of people.",0,0,0,0,0,,2024-08-11T16:13:55.905818
PEOPLE,KOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzlKFR_vu6q2shuxzNjpEk9tsGVSIh58NhqA&s,2024-07-02T12:35:11.054079,A line of figures stands holding hands with a different figure standing between them.,0,0,0,0,0,,2024-08-11T16:13:55.905818
