category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
DANCE,MEX,https://cf.ltkcdn.net/kids/images/std/315716-800x533-traditionalmexicandancer.jpg,2024-08-10T03:59:27.294548,"People in colorful, layered skirts are dancing.",0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://media.licdn.com/dms/image/C4E12AQHP0UXtGfuEhg/article-inline_image-shrink_1000_1488/0/1624477649537?e=1727913600&v=beta&t=pAUluiYugZmuYtZqKCXtslNve86x9PSNr-fzB-ZfC34,2024-08-10T03:59:27.294548,"A woman in a large, ruffled skirt dances with a man wearing a hat.  Three other people play musical instruments in the background.",0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://amigoenergy.com/wp-content/uploads/2023/06/folklorico-dances-dancing-girl-dances-in-celebration-of-mexican-tradition.jpg,2024-08-10T03:59:27.294548,A person wearing a colorful dress and boots is spinning and their skirt is flowing out behind them.,0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://sourcenm.com/wp-content/uploads/2023/01/Portales-Dancers-scaled.jpg,2024-08-10T03:59:27.294548,People are wearing colorful skirts and spinning in a circle.,0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/6f/d9/cb.jpg,2024-08-10T03:59:27.294548,A group of people in colorful clothing are dancing on a stage.,0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://hamlethub-dev-images.s3.amazonaws.com/old/hh20mediafolder/5095/201903/sones_jalicienses-2-1553006342.jpg,2024-08-10T03:59:27.294548,Three people wearing brightly colored skirts dance on a stage.,0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://media.licdn.com/dms/image/C4E12AQGwjLeVVt2G9A/article-inline_image-shrink_1000_1488/0/1624477907044?e=1727913600&v=beta&t=IAjuSW1pFXlSF2AKZm49M3ozNpgWLz_GFDzYTttfNtc,2024-08-10T03:59:27.294548,"A person wearing a colorful, multi-layered skirt dances.",0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://m.media-amazon.com/images/I/71nBXjXELlL.jpg,2024-08-10T03:59:27.294548,"Three people are wearing colorful, patterned clothing and standing together.",0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://thevillagesun.com/wp-content/uploads/2022/06/Ballet-Mexicano.png,2024-08-10T03:59:27.294548,"A group of people in colorful, layered dresses are performing a dance on a stage.",0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://bloximages.chicago2.vip.townnews.com/syvnews.com/content/tncms/assets/v3/editorial/c/7a/c7add38e-a381-5c40-ab4e-9ea5f7c287a5/64e93459b6a55.image.jpg?resize=750%2C500,2024-08-10T03:59:27.294548,"A group of people are posed in front of a stone wall, wearing colorful, traditional clothing.",0,0,0,0,0,,2024-08-11T16:20:33.629303
DANCE,MEX,https://i.ytimg.com/vi/sTT3W_GziwQ/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGDUgQCh_MA8=&rs=AOn4CLCYi7OT3GxxDGT3WvXVueRsZrBEnA,2024-08-10T03:59:27.294548,A group of people are wearing traditional clothing and standing in a room.,0,0,0,0,0,,2024-08-11T16:20:33.629303
