category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,MEX,https://www.artnews.com/wp-content/uploads/2019/11/shutterstock_editorial_10363638a.jpg?w=864&h=648&crop=1,2024-08-10T04:32:55.489107,"A large group of people are gathered in an open area, some are standing in a circle while others are walking around.",0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.iom.int/sites/g/files/tmzbdl486/files/styles/large_900_image_crop/public/press_release/media/2023-09/20230831-danli-honduras-eric-escoto-2.jpeg?h=c0c3196b&itok=8CYFYtxj,2024-08-10T04:32:55.489107,A large group of people are walking in a line.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIl0EtFKIQ146F1lqZ8UHliuEolq0nkq-_SA&s,2024-08-10T04:32:55.489107,A woman holds two large rectangular pieces of cloth with different designs.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://impactalpha.com/wp-content/uploads/2024/05/shutterstock_259867799.jpg,2024-08-10T04:32:55.489107,"People are working together, looking at paperwork and possibly discussing something.",0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://imagenes.elpais.com/resizer/v2/C2ZO32L62RCPXDEJS5TGVBEJJI.jpg?auth=bbffc2fc196b179cf6c103a0746fb8cd814fa04f586eb45b09e50c8ab8f1791b&width=414,2024-08-10T04:32:55.489107,Two people are standing by a barbed-wire fence with blankets and other belongings.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://firrp.org/wp-content/uploads/2022/09/border-photo-scaled.jpg,2024-08-10T04:32:55.489107,A group of people are walking along a dirt path with one person pulling a suitcase.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://thumbnails.texastribune.org/UqQWiESAHheBVhioTRC052NDySo=/450x300/https://static.texastribune.org/media/files/b5d0470d5d1203ac6ab8acd942b4e308/0205%20PAN%20Consejo%20Action%20TT%20JC%2019.jpg,2024-08-10T04:32:55.489107,A man in a suit is gesturing with his hands while talking to a group of people.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.agriculture.com/thmb/lHvGIm6ns2fMuf9rc3FGuC6h3W4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/iStock-4732901802028revised29-cdd598ff552146009ff0bbcc305ab850.jpg,2024-08-10T04:32:55.489107,Two people are shaking hands in front of two flags.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://thehill.com/wp-content/uploads/sites/2/2023/07/64b6f64792b523.84519973-e1694709670269.jpeg?strip=1,2024-08-10T04:32:55.489107,Several people walk with luggage in a reflective hallway.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://freedomhouse.org/sites/default/files/styles/768x400_fp_scale_crop_/public/2020-02/Mexico.jpg?h=397adeab&itok=OwOVeqwb,2024-08-10T04:32:55.489107,People are waiting near a pink vehicle.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx9wrAwvRoWOidA23SDndLJtX4rlLpz7Tbcw&s,2024-08-10T04:32:55.489107,A group of people are boarding a large vehicle.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.culturalsurvival.org/sites/default/files/styles/max_1300x1300/public/lucia_crop_copy.jpg?itok=IQrNdbch,2024-08-10T04:32:55.489107,A woman with yellow markings on her face is holding a child wrapped in a blanket.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.usatoday.com/gcdn/presto/2018/10/16/USAT/cdaf4f3a-8b53-4e86-926f-0114a31f206d-GTY_1052219378.jpg?width=660&height=446&fit=crop&format=pjpg&auto=webp,2024-08-10T04:32:55.489107,A large group of people are walking in a single file line on a path.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSycJJHj0JZMFgbDAfWdGAG2W397rt5x59tA&s,2024-08-10T04:32:55.489107,A large crowd of people stand in front of a large stone building with a flagpole on top.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.worldbank.org/content/dam/Worldbank/Feature%20Story/mx-farmer-508x335.jpg,2024-08-10T04:32:55.489107,An older man in a white hat holds a plant in a field of tall green plants.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.plenglish.com/wp-content/uploads/2023/03/medicos-cubanos-1.jpg,2024-08-10T04:32:55.489107,A group of people in white coats are walking and holding flags.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.telesurenglish.net/__export/1461613996613/sites/telesur/img/news/2016/04/25/vivasnosqueremos-1.jpg,2024-08-10T04:32:55.489107,A large group of people are gathered in a city street.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,"https://media-cldnry.s-nbcnews.com/image/upload/t_fit-560w,f_auto,q_auto:best/rockcms/2024-06/240605-ciudad-juarez-mexico-us-border-migrants-ac-818p-f6fcc4.jpg",2024-08-10T04:32:55.489107,A group of people walk through a dark forest lit by an orange glow.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://images.wsj.net/im-315133/?width=700&height=467,2024-08-10T04:32:55.489107,A person carries a child on their shoulders in front of a building with arched windows.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://d3i6fh83elv35t.cloudfront.net/static/2022/04/2022-03-31T022906Z_1347538689_RC2ZCT9E1EWA_RTRMADP_3_USA-IMMIGRATION-MEXICO-1024x683.jpg,2024-08-10T04:32:55.489107,A group of people wearing face coverings stand in front of a barrier.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIl965UOUtTAa_yIshhte1IrJmSmIbQfiTIA&s,2024-08-10T04:32:55.489107,An adult carries a young child over a barrier of woven metal.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://static.independent.co.uk/2024/04/24/05/Mexico_Water_Wars__69010.jpg?quality=75&width=640&height=614&fit=bounds&format=pjpg&crop=16%3A9%2Coffset-y0.5&auto=webp,2024-08-10T04:32:55.489107,A person wearing a mask and a shirt holds a hose connected to a pump.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://media.tzuchi.us/wp-content/uploads/2023/11/27212357/TzuchiUSA_Tijuana-Environmental-Education-in-Action_3.jpg,2024-08-10T04:32:55.489107,Four individuals wearing yellow vests and face masks are carrying black bags on a dirt path.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.bostonherald.com/wp-content/uploads/migration/2017/09/20/092017mexico025.jpg?w=620,2024-08-10T04:32:55.489107,People stand around several open caskets with flowers.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://urbancoalitions.org/sites/default/files/styles/small/public/news/Websilde%20%2864%29.png.webp?itok=1xgARIy6,2024-08-10T04:32:55.489107,"A group of people are posing for a photo, some standing and some kneeling.",0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-760x380,f_auto,q_auto:best/rockcms/2024-06/240612-san-diego-border-migrants-ac-546p-d0d487.jpg",2024-08-10T04:32:55.489107,A group of people walk in a line down a dirt road.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.sandiegouniontribune.com/wp-content/uploads/migration/2019/07/14/0000016b-ed4d-d258-a37b-ffedb04d0000.png?w=620,2024-08-10T04:32:55.489107,A large group of people are resting on the floor in a large room.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPjrvFeZNCEzDXhNikUzs1ky_yM7GsIBHbXw&s,2024-08-10T04:32:55.489107,A group of people are standing in a circle and holding their hands together.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://d3jpbvtfqku4tu.cloudfront.net/blog/_blogSmallWidth/WOTW-Roxette_Villegas.jpg,2024-08-10T04:32:55.489107,A woman with long dark hair is wearing a white shirt with a black collar.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.gob.mx/cms/uploads/article/main_image/117409/plan_accion.jpeg,2024-08-10T04:32:55.489107,A group of people are sitting at a table.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://opinion-images.wsj.net/im-68509526/?size=1.5,2024-08-10T04:32:55.489107,"A group of people are walking on a dirt path, with one person in uniform standing in front of them.",0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrcerFFAHRt7hV0KLS7pyFvEe-JdcGk2WCSA&s,2024-08-10T04:32:55.489107,"Three people stand in front of a large, dangerous creature while a group of vehicles drives toward them.",0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://imagenes.elpais.com/resizer/v2/YWL75VSAT6EG5IPLOWEUFDGLCA.jpg?auth=240b9000cde198175ce047d1dfbd55a075981cbac4e19ab71f1e9e58c2fbd992&width=414,2024-08-10T04:32:55.489107,A large group of people are running in a street.,0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.workers.org/2008/world/mexico_0214.jpg,2024-08-10T04:32:55.489107,"A large crowd of people are gathered together, raising their fists in the air and shouting.",0,0,0,0,0,,2024-08-11T16:20:47.801672
PEOPLE,MEX,https://www.brookings.edu/wp-content/uploads/2024/06/2024-06-03T064451Z_428929307_RC2F38APO1GR_RTRMADP_3_MEXICO-ELECTION.jpg?quality=75&w=1500,2024-08-10T04:32:55.489107,"A woman in a colorful jacket is giving a speech in front of a large, stylized image of an animal.",0,0,0,0,0,,2024-08-11T16:20:47.801672
