category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CLOTH,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSNcXFfsRhy6ScOj8gsLSSmiyi6Iq4B50Suw&s,2024-08-10T05:28:06.419196,"A woman is smiling and wearing a long, green and gold outfit.",0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://m.media-amazon.com/images/I/61uE6FA7GfL._AC_UY1000_.jpg,2024-08-10T05:28:06.419196,A person is wearing a long-sleeved shirt and pants that have a pattern of concentric circles.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://images.squarespace-cdn.com/content/v1/530286f8e4b0d1c4964d040e/1481047579766-QXB3887PZ8T404WD1Y43/Iconola-Icon-Campaign-for-2015-fashionghana-african-fashion1.jpg?format=2500w,2024-08-10T05:28:06.419196,Three women with patterned clothing stand in front of a brown background.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://ae01.alicdn.com/kf/S85345cdd5b9c49b5ae3fa8727be082abT/2-Piece-Blouse-And-Skirt-Sets-African-Dresses-For-Women-Nigeria-Turkey-Africa-Clothes-Office-Lady.jpg,2024-08-10T05:28:06.419196,A person wearing a blue and black patterned dress is taking a selfie.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://m.media-amazon.com/images/I/61ufzkaevZL._AC_UY1000_.jpg,2024-08-10T05:28:06.419196,A person is wearing a long dress with a patterned skirt.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://i.pinimg.com/originals/c0/fe/89/c0fe89add5785f19293e7dadabb56e6d.jpg,2024-08-10T05:28:06.419196,Two people wearing patterned clothing stand on a wooden surface.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO7dQ9tmGjMcdMh64puYFy7EFIFtjMp6FCLA&s,2024-08-10T05:28:06.419196,Three women are wearing colorful dresses.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://qph.cf2.quoracdn.net/main-qimg-dbe3086018ea090fc92282f53970e3e1-lq,2024-08-10T05:28:06.419196,"A couple is standing together, the woman wearing a long black dress with a ruffled side and the man wearing black pants and a black shirt with patterned details.",0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://media.voguebusiness.com/photos/5f3e4edcbe6ed5c2fac39b36/2:3/w_2560%2Cc_limit/nigerian-textile-voguebus-tsemaye-binitie-july-20-story.jpg,2024-08-10T05:28:06.419196,A person is standing in a yellow dress with fringe trim and tall heels in front of piles of colorful strands.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://www.worldatlas.com/r/w1200/upload/17/1f/7d/shutterstock-1155869785.jpg,2024-08-10T05:28:06.419196,Many colorful pieces of fabric hang outside a building on wooden racks.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://www.aljazeera.com/wp-content/uploads/2012/08/20128253136442580_20.jpeg?resize=680%2C410&quality=80,2024-08-10T05:28:06.419196,Several people are standing around a clothing stall with different clothes hanging up.,0,0,0,0,0,,2024-08-11T16:21:22.883175
CLOTH,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoDikuksxK_GQsY8WczN60_hXb2uzRNbPqpw&s,2024-08-10T05:28:06.419196,"The image shows three women wearing long, flowing dresses in different shades of green.",0,0,0,0,0,,2024-08-11T16:21:22.883175
