category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
NATUR,NGA,https://i.pinimg.com/736x/4b/f6/4a/4bf64a5da13e02a71f0f28815010c1f4.jpg,2024-08-10T05:59:27.863184,"A large amount of water falls from a cliff into a pool of water, surrounded by lush greenery.",0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://ocdn.eu/pulscms-transforms/1/rhzktkqTURBXy9kM2Y0Y2Q4MjVlMjllZDA1ZDZkZjQwNmJkMmFjYjZiMS5qcGVnkpUDABjNAoDNAWiTBc0EsM0Cdg,2024-08-10T05:59:27.863184,A calm body of water flows through a dense forest.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://lh3.googleusercontent.com/ci/AL18g_TCDOZc58u0eJTq5D6v6xGQNZraYH1eNEFXkQLSGQ6F6C6o__R5kv-g_d2w_TTfrRgpD7bH_g,2024-08-10T05:59:27.863184,A series of cascading waterfalls flows through a lush green forest.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCSFETVm43q5TosEk_gmWmDSlUqip-Fc8W5g&s,2024-08-10T05:59:27.863184,A body of water winds through a grassy area with trees in the background.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://en.nabu.de/imperia/md/nabu/images/international/afrika/030523_tropical_forest_cross_river_nigeria_adobestock_fabian.jpeg,2024-08-10T05:59:27.863184,"A misty, densely forested landscape with a large tree in the middle.",0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://media.istockphoto.com/id/1401898170/photo/natural-lake-with-water-hyacinth-in-the-countryside.jpg?s=612x612&w=0&k=20&c=EB-EI3T3BO-bFfO20FSaU2LfxPpdnic5k7zH5B09hlg=,2024-08-10T05:59:27.863184,A body of water with green vegetation and a cloudy sky.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://i.pinimg.com/564x/08/6e/78/086e78b54c33abe31f052db31954fa88.jpg,2024-08-10T05:59:27.863184,A waterfall flows into a pool of water surrounded by lush green foliage.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://scx2.b-cdn.net/gfx/news/hires/2019/protectedarea.jpg,2024-08-10T05:59:27.863184,A rocky outcrop overlooks a valley of dense foliage and a winding river.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://wakawakadoctor.com/wp-content/uploads/2020/08/Blyde-River-Canyon-South-Africa.jpg,2024-08-10T05:59:27.863184,"A vast expanse of rolling, rocky hills covered in vegetation.",0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://miro.medium.com/v2/resize:fit:1280/0*T7qJtpLAUYAPciJw,2024-08-10T05:59:27.863184,A large body of clear water is surrounded by lush greenery and several people are swimming in it.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://img.freepik.com/premium-photo/african-countryside-with-river-trees-mountains-horizon-3d-illustration_76964-3032.jpg,2024-08-10T05:59:27.863184,A river winds through a valley surrounded by green hills and a large rock formation.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://images.theconversation.com/files/432821/original/file-20211119-14-9u2n5o.jpg?ixlib=rb-4.1.0&q=20&auto=format&w=320&fit=clip&dpr=2&usm=12&cs=strip,2024-08-10T05:59:27.863184,Water cascades down a steep rock face into a pool of water below.,0,0,0,0,0,,2024-08-11T16:21:39.809674
NATUR,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7l02Fm_SOQKwPixIvIrTFq8dSHkvB_I4p8A&s,2024-08-10T05:59:27.863184,"Multiple streams of water cascade down a cliff, creating a mist and a rainbow.",0,0,0,0,0,,2024-08-11T16:21:39.809674
