category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,NGA,https://www.actionagainsthunger.org/app/uploads/2022/09/NG_Nut_GuyCalaf_2016_3_3-scaled-aspect-ratio-1920-1040.jpg,2024-08-10T06:10:38.855401,"A group of people stand together, some are smiling.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://www.actionagainsthunger.org/app/uploads/2022/09/NG-Nut-GuyCalaf-2016-1-scaled-aspect-ratio-1920-1080-2.jpg,2024-08-10T06:10:38.855401,"A group of people are gathered together, one of whom is administering something to a small child.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://global.unitednations.entermediadb.net/assets/mediadb/services/module/asset/downloads/preset/assets/2016/08/25129/image1170x530cropped.jpg,2024-08-10T06:10:38.855401,"A group of people, mostly women, sit together wearing colorful clothing and head coverings.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://www.vaticannews.va/content/dam/vaticannews/agenzie/images/afp/2024/03/28/20/1711655599126.jpg/_jcr_content/renditions/cq5dam.thumbnail.cropped.750.422.jpeg,2024-08-10T06:10:38.855401,"A group of people wearing headscarves stand together, smiling.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://www.iom.int/sites/g/files/tmzbdl486/files/styles/large_900_image_crop/public/press_release/media/ng20170801-3.jpg?itok=fh-B1BfJ,2024-08-10T06:10:38.855401,A group of people are smiling and raising their hands.,0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://www.justiceinfo.net/wp-content/uploads/Nigeria_international-criminal-court-Mame-Mandiaye-Niang_@ICC-CPI-1000x750.jpg,2024-08-10T06:10:38.855401,"A group of people stand in a room with tiled floor, all wearing business attire.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://baselgovernance.org/sites/default/files/2023-03/NigeriaMACNCBI1.jpg,2024-08-10T06:10:38.855401,"A group of people are sitting around a table, some are talking and others are listening.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://cdn.cfr.org/sites/default/files/image/2022/06/NigeriaViolence_IB.jpg,2024-08-10T06:10:38.855401,"A group of people, including children, are gathered in an open area, some carrying items on their heads.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQ7Kx2vmMcvdECigf3EtSiJZ9SWWC6jV5KKQ&s,2024-08-10T06:10:38.855401,"A group of people are gathered outside a hut, with one person giving something to another.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://www.actionagainsthunger.org/app/uploads/2022/09/Nigeria_2018_SebastienDujindam_13-scaled-aspect-ratio-1920-1040.jpg,2024-08-10T06:10:38.855401,A woman measures the upper arm of a child.,0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYCFPH5tw8wPD73fGSWsXoZLYZ6xe5joF0Jw&s,2024-08-10T06:10:38.855401,"Four people walk across a dry, dusty landscape carrying buckets.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://gaggaalliance.org/wp-content/uploads/2020/11/WEP-Nigeria2-2-800x513.jpg,2024-08-10T06:10:38.855401,A group of people are planting a sapling in the ground.,0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://environmentafricamag.com/wp-content/uploads/2024/02/IMG-20240202-WA0159.jpg,2024-08-10T06:10:38.855401,"A group of people are standing in front of a building, smiling at the camera.",0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpmNhxmxfVNSmYMvQ6Y8uIQbARlRBq4tAIyw&s,2024-08-10T06:10:38.855401,A group of people are gathered around a woman presenting information on a board.,0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/b539dc90-screen-shot-2022-06-06-at-7.48.02-pm.png,2024-08-10T06:10:38.855401,A group of figures are attacking another figure on the ground.,0,0,0,0,0,,2024-08-11T16:21:44.566681
PEOPLE,NGA,https://images.theconversation.com/files/552989/original/file-20231010-21-91kosu.jpeg?ixlib=rb-4.1.0&q=45&auto=format&w=668&h=324&fit=crop,2024-08-10T06:10:38.855401,"A group of people, mostly women, are walking in a line holding rifles in a grassy field.",0,0,0,0,0,,2024-08-11T16:21:44.566681
