category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
TOOLS,NGA,https://www.lighttrybe.ng/wp-content/uploads/2022/02/7PCS-Kitchen-tools-set-grey.jpg,2024-08-10T06:32:57.496650,There is a set of eight kitchen utensils with blue and copper handles.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://img.kwcdn.com/product/fancy/d40c8b6a-ac6d-41ff-960f-7a89bf3d20c1.jpg?imageView2/2/w/500/q/60/format/webp,2024-08-10T06:32:57.496650,Six containers filled with kitchen utensils stand in a row.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/606048/1.jpg?5915,2024-08-10T06:32:57.496650,A set of kitchen utensils with wooden handles is hanging on a rack.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3656932/1.jpg?4656,2024-08-10T06:32:57.496650,A set of six black utensils with different shapes and functions for cooking.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpnE18QSjqL2X0KMO3X0FkxS1VFEZqpcw6-w&s,2024-08-10T06:32:57.496650,A collection of wooden utensils with various shapes and sizes.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSezPWezoufkvguDF00ft40vPb_xMgmVB6PAg&s,2024-08-10T06:32:57.496650,A set of six kitchen utensils with colorful handles are displayed on a black stand.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://miro.medium.com/v2/resize:fit:1000/1*gIcvotBdkZkZ0pwNjLJVxg.jpeg,2024-08-10T06:32:57.496650,Three wooden bowls and a wooden pestle are arranged on a surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS69Ej56kcVAbWMMlHRmzigaHJysc3vPWIxuQ&s,2024-08-10T06:32:57.496650,A variety of metal and ceramic kitchen tools and utensils are displayed on a white surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5ieOvmUGEMI7-YLT0ihjtpO87XUUL3plvkg&s,2024-08-10T06:32:57.496650,A set of kitchen utensils and tools is arranged on a countertop.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhr2vfY4jveXx989rVCGzRa6H_b--BghDt2CwvCozUlAEUlm_ve6K4EsN04W1emftoa0pfq9NmGJlpp2IoDzhrS9eU-9-mI8T9Id11PRPzss8eZWjGBFbLSt1AEFJgjlhW4IDAkFOfqgp92SapH_ijautBnrScry3JXufwqb3eRXJGbapgymQ7BXKcLOg/s1500/col.jpg,2024-08-10T06:32:57.496650,"A round, silver bowl with holes and two handles.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/top-10-kitchen-tools.jpg,2024-08-10T06:32:57.496650,A set of kitchen utensils for cooking and eating.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/96/9084912/1.jpg?8414,2024-08-10T06:32:57.496650,A set of cooking utensils with wooden handles stand in a black holder.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqUHgHZaYSggeffI2fNvMvTSE3Xug7WZoC5Q&s,2024-08-10T06:32:57.496650,A set of kitchen utensils with wooden handles are displayed in a gray container.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://miro.medium.com/v2/resize:fit:1400/1*R4EYfVErGghEtw-bOBw_Eg.jpeg,2024-08-10T06:32:57.496650,"A bundle of thin, stiff plant fibers are bound together.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://cartnear.s3.us-east-2.amazonaws.com/ng/3937d24039f328528b57b40a090b2a81.jpg,2024-08-10T06:32:57.496650,There are ten red kitchen tools and a red container.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,"https://www-konga-com-res.cloudinary.com/w_400,f_auto,fl_lossy,dpr_3.0,q_auto/media/catalog/product/E/B/114698_1635400816.jpg",2024-08-10T06:32:57.496650,A collection of kitchen utensils with wooden handles.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlACLUSLiI8IJLZ2dh1jOrfUJQz_NHDmS8Tw&s,2024-08-10T06:32:57.496650,Five wooden utensils with long handles lie on a gray surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://mywishlistng.com/uploads/products/product-0cc8cd952e7b2aace1eb463934c725c47cd69cb90.jpeg,2024-08-10T06:32:57.496650,A collection of kitchen utensils with wooden handles and grey silicone heads.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://s.alicdn.com/@sc04/kf/H199b9b88c091420a86fe7a199163ad525.jpg_300x300.jpg,2024-08-10T06:32:57.496650,The image shows a set of utensils with wooden handles and different colored heads.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://static.wixstatic.com/media/3d0e6f_e2cc3cb7dd174752bd900771978f4ed9~mv2.webp,2024-08-10T06:32:57.496650,A set of kitchen utensils with wooden handles and white heads.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://m.media-amazon.com/images/I/51MXctNxumL.jpg,2024-08-10T06:32:57.496650,"A flat, thin, wooden object is lying on a surface.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://s.alicdn.com/@sc04/kf/H4f4d793e861a4864b1dd6d06305f2762T.jpg_300x300.jpg,2024-08-10T06:32:57.496650,A set of utensils with decorative handles are displayed on a stand.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://i5.walmartimages.com/seo/1-X-Spoon-Rest-Utensil-Organizers-Spatula-Holder-Rack-Storage-Shelf-Kitchen-Tool_5d5f112e-d983-4ce4-aef2-03a75c3d2f8f.f9dd409d57cca1039637c84374cee283.jpeg,2024-08-10T06:32:57.496650,A set of three differently colored spoons with a handle that curves to make a resting place for the spoon.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://www.allnigerianrecipes.com/images/grater.jpg,2024-08-10T06:32:57.496650,A metal tool with a handle and multiple surfaces with different sized holes.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,"https://static.wixstatic.com/media/3d0e6f_20a42041145e4e23b13f802b0f52c919~mv2.jpg/v1/fill/w_480,h_672,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/3d0e6f_20a42041145e4e23b13f802b0f52c919~mv2.jpg",2024-08-10T06:32:57.496650,Three wooden utensils are arranged vertically in a row.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://image.made-in-china.com/201f0j00YpQcBHPKvhzL/Silicone-Kitchen-Accessories-Cooking-Tools-Utensils-Set-19PCS-19-PCS-19-Pieces-Silicone-Utensils-Sets-with-Knife-Tools-for-Africa-Nigeria-Ghana-Market-Wholesale.webp,2024-08-10T06:32:57.496650,A stand holds various cooking tools and knives.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://ighomall.com/image/cache/catalog/products/kitchen-dining/magi-cook-7pcs-kitchen-tool-set-mk-kt-2540-mk-kt-2540-400x400.jpg,2024-08-10T06:32:57.496650,A stand holds a group of metallic kitchen utensils.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg3YQ_x8Os_IFXCLR66EeRzijlPbuYAeX7WA&s,2024-08-10T06:32:57.496650,A collection of kitchen utensils with different shapes and colors are displayed on a surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://cartnear.s3.us-east-2.amazonaws.com/ng/18c672af102aa75c479a9dec0ad5a53f.jpg,2024-08-10T06:32:57.496650,A set of seven cooking utensils with black and yellow handles.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAQPzlpBRXHCJuU8pISV_bJLzoHLiy20gDNA&s,2024-08-10T06:32:57.496650,A pink container holds various kitchen utensils with handles of a different color.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://www.supermart.ng/cdn/shop/files/Spmt764.jpg?v=1695742103,2024-08-10T06:32:57.496650,Two knives with colored handles are displayed.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://mywishlistng.com/uploads/products/product-57d276fdec8fd24fcec3d2e56e39b735394d5e951.jpg,2024-08-10T06:32:57.496650,"A set of brown, wooden kitchen utensils are arranged in a circle on a white surface.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR75O3-nRUzBXavLnEzywVyRQ5npudoI-VfQ&s,2024-08-10T06:32:57.496650,Four colorful utensils with a spoon shape on one end and a fork shape on the other are arranged on a plate.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://i5.walmartimages.com/seo/Hgehaz-Cooking-Utensils-Wooden-Spatula-For-12-4-Inch-Premium-Long-Handled-Kitchen-Spurtle-Set-Ideal-Pan-And-Wok-Wood-Turner-Corner-Spoons-Scraper_4b4c4137-e192-491d-86d3-c550f1b939e3.a8a5a2b76ba00574ef563cdec0aae644.jpeg?odnHeight=320&odnWidth=320&odnBg=FFFFFF,2024-08-10T06:32:57.496650,"A long, thin, flat utensil made of wood with a rounded, pointed end.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://vanaplus.co/cdn/shop/files/3516_1685793010.jpg?v=1712325213&width=484,2024-08-10T06:32:57.496650,Three containers with a spoon.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://pinamart.com/wp-content/uploads/2018/09/Adonis-7pieces-cooking-utensils-6365569.jpg,2024-08-10T06:32:57.496650,A set of six cooking utensils with wooden handles are hanging on a metal bar.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://insight.ng/wp-content/uploads/2023/07/GetPaidStock.com-64bda81c1c3fa.jpg,2024-08-10T06:32:57.496650,A variety of kitchen utensils are arranged on a dark surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://image.made-in-china.com/202f0j00YrtoCZHAgVpP/Silicone-Kitchen-Accessories-Cooking-Tools-Utensils-Set-19PCS-19-PCS-19-Pieces-Silicone-Utensils-Sets-with-Knife-Tools-for-Africa-Nigeria-Ghana-Market-Wholesale.webp,2024-08-10T06:32:57.496650,A collection of kitchen utensils and tools are laid out on a pink surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,"https://static.wixstatic.com/media/3d0e6f_71b319097b6d4057b9eb0801e37a50c8~mv2.jpg/v1/fill/w_480,h_648,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/3d0e6f_71b319097b6d4057b9eb0801e37a50c8~mv2.jpg",2024-08-10T06:32:57.496650,Three kitchen utensils with black handles and silver metal parts.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://homelyng.com/cdn/shop/products/kitchen-utensils-sabichi-silicone-spoon-148469-1_720x.jpg?v=1466808364,2024-08-10T06:32:57.496650,A long-handled spoon with a gray bowl and a light brown handle.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://homelyng.com/cdn/shop/products/kitchen-utensils-sabichi-stainless-steel-slotted-spoon-mono-range-94995-1_720x.jpg?v=1466807953,2024-08-10T06:32:57.496650,"A long, thin utensil with a slotted oval bowl and a black handle.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://img.kwcdn.com/product/fancy/8883a5ee-07fa-4bc5-83aa-fad41051af7b.jpg?imageView2/2/w/500/q/60/format/webp,2024-08-10T06:32:57.496650,A collection of various metallic utensils arranged on a flat surface.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS00iOs_2lIyO1qJLalZxOXZtzgq59Ivw-Rhg&s,2024-08-10T06:32:57.496650,A red bag contains a variety of tools for working with various materials.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://m.media-amazon.com/images/I/31AS6X9k++L._AC_.jpg,2024-08-10T06:32:57.496650,"Four yellow, round-bottomed spoons with handles.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://cdn.shopify.com/s/files/1/2131/5111/files/Web_Accessory_FryingPan-Universal-Lid_Blue_1x1_Hero_640x640.jpg?v=1719868105,2024-08-10T06:32:57.496650,"A blue, flat, circular object with a handle.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://www.pamperedchef.com/iceberg/com/product/1609-lg.jpg,2024-08-10T06:32:57.496650,A wooden block holds various metal knives with black handles.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://ae01.alicdn.com/kf/Se1210678d9f24d74badce80e93ee4864n/Kitchen-supplies-practical-household-creative-kitchen-utensils-kitchen-utensils-artifact-gadgets-small-Department-Store-helper.jpg,2024-08-10T06:32:57.496650,A hand is using a tool with rotating blades to cut a sheet of dough into thin strips.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc2z2EOGsWU2wTGT2mc-ZTsozZ5xY3zfAFgA&s,2024-08-10T06:32:57.496650,A wall-mounted rack with multiple compartments and hooks holds various utensils and tools.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://www.supermart.ng/cdn/shop/files/Hly063a.jpg?v=1689012539,2024-08-10T06:32:57.496650,A black and white tool with a handle and a flat base with holes in it.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://whiskeyball.com/cdn/shop/products/Bartools1000x1000px_e5081aa2-9d3f-46b6-a0e1-9e3e560efa35.png?v=1632799001,2024-08-10T06:32:57.496650,"A set of bar tools including a glass, a spoon, a strainer, a knife, and a measuring cup.",0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://cdn.shopify.com/s/files/1/2131/5111/files/Web_Accessory_KitchenUtensil_RubberFlipper_1x1_Hero_640x640.jpg?v=1719418621,2024-08-10T06:32:57.496650,A blue utensil with a metal handle.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/c8642e9d-d786-444d-946c-ff12b4011a70._SL480_.png,2024-08-10T06:32:57.496650,A group of utensils with black handles and silver metal parts are standing in a black container.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://img.kwcdn.com/product/1e78ea3018/5e9e17ca-d1f5-4782-bd81-303cafb0f2c4_1200x1200.jpeg?imageMogr2/auto-orient%7CimageView2/2/w/800/q/70/format/webp,2024-08-10T06:32:57.496650,Two wooden boxes with slots and an additional space for holding items.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgRgt7rgzONTuN4z3TIHKVNYfWddwmteo2INTD7K2HE4iXhrfGqW6DwJ1N8XiCPZQUd8ieiJ1GmLe8SqWBaygtlV2jN5d8S4Tu6D5fKSkBHWbIPM9x-rA1vAERlurBvXNM6Kdv-1zxu9UHWq8CuJly5mVjNdi-QHDFjVm4mIiP_ED6h-IaoE8HEuCzKFw/s1491/pest.jpg,2024-08-10T06:32:57.496650,A mortar and pestle with various spices around it.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,"https://www-konga-com-res.cloudinary.com/w_200,f_auto,fl_lossy,dpr_3.0,q_auto/media/catalog/product/O/H/81303_1603031936.jpg",2024-08-10T06:32:57.496650,A set of three circular strainers with handles of varying sizes.,0,0,0,0,0,,2024-08-11T16:21:56.776437
TOOLS,NGA,https://homelyng.com/cdn/shop/products/kitchen-utensils-sabichi-silicone-rolling-pin-148339-1_300x.jpg?v=1466808340,2024-08-10T06:32:57.496650,A cylindrical object with two handles on either end.,0,0,0,0,0,,2024-08-11T16:21:56.776437
