category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
FOOD,POL,https://i0.wp.com/cms.babbel.news/wp-content/uploads/2019/09/PolishFoods.png?fit=1200%2C675&strip=none&ssl=1,2024-08-10T14:35:12.391281,"A plate of cooked, filled pastries with green leaves and a plate of the same pastries.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,"https://media.cnn.com/api/v1/images/stellar/prod/200811120029-15-best-polish-foods.jpg?q=w_1110,c_fill",2024-08-10T14:35:12.391281,"Three yellow, shiny, and oddly-shaped food items are arranged on a brown surface.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://www.chefspencil.com/wp-content/uploads/Polish-drinks.jpg,2024-08-10T14:35:12.391281,"A collage of different liquids in glasses, bowls, and a pitcher.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://images.saymedia-content.com/.image/t_share/MTc0NjE4MzY3OTM0NzM2Mzc0/polish-food.jpg,2024-08-10T14:35:12.391281,"A plate of food with meat, cabbage, and doughy items.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://i0.wp.com/coconutsandcamels.co.uk/wp-content/uploads/2020/04/IMG_20200203_132500.jpg?resize=500%2C500&ssl=1,2024-08-10T14:35:12.391281,"Two plates of food, one with fried food and a red sauce, and the other with shredded food and a fried round food.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://annaeverywhere.com/wp-content/uploads/2019/08/slaskie.jpg,2024-08-10T14:35:12.391281,"A plate of round, pale yellow food with a small hole in the center.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://annaeverywhere.com/wp-content/uploads/2019/08/polish-dishes.jpg,2024-08-10T14:35:12.391281,"A white plate contains multiple round, pale yellow pastries topped with small, red pieces and a white powder.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://s.inyourpocket.com/gallery/krakow/2020/01/Barszcz-AdobeStock-zi3000.jpg,2024-08-10T14:35:12.391281,A white bowl filled with red liquid and small round pieces of food topped with green leaves.,0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,https://lh3.googleusercontent.com/proxy/AQHI3Glezgo-uqkXMFBp-ptdguJnZ1XdnrMUlFmS_ObaZUropf8m-A8BpAQh-krIP5u6fX0yd3Yzyw4ii7i2DKonkyJgD0dnefQG0rG5i98tiu_VeU-HJ4kkbJvZgDllbvgj6P5UDzHQwiRb5g,2024-08-10T14:35:12.391281,"A white plate contains a dish of flat, cooked pasta topped with cubed, yellow fruit and a white, soft substance.",0,0,0,0,0,,2024-08-11T16:22:31.077084
FOOD,POL,"https://media.cnn.com/api/v1/images/stellar/prod/200811115514-01-best-polish-foods.jpg?q=w_1110,c_fill",2024-08-10T14:35:12.391281,"A bowl of white soup with a boiled egg, pieces of bread and small bits of meat.",0,0,0,0,0,,2024-08-11T16:22:31.077084
