category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CITIES,US,https://www.investopedia.com/thmb/8Mu9AzhkfoVrrLNoU-T2nnHxEhQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/a_16-5bfc3876c9e77c002633f632.jpg,2024-08-10T15:23:51.932645,Many tall buildings stand on a body of water with several small boats.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.spendlifetraveling.com/wp-content/uploads/2021/11/most_beautiful_cities_in_united_states.jpg,2024-08-10T15:23:51.932645,An aerial view of a city with tall buildings and a waterway that cuts through it.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.thoughtco.com/thmb/xsXofufWyqkNhc1MZwQqtm9ivNY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/empire-state-building-and-skyline--new-york--usa-668600163-5aabde2843a1030036f90d9a.jpg,2024-08-10T15:23:51.932645,A city skyline is shown with many tall buildings and a body of water in the distance.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.worldatlas.com/upload/71/54/f3/shutterstock-1909896037.jpg,2024-08-10T15:23:51.932645,A densely populated city with a large body of water in the distance.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://media.architecturaldigest.com/photos/65676f03de73752f6adaba7d/master/w_1600%2Cc_limit/GettyImages-476881195.jpg,2024-08-10T15:23:51.932645,A bridge with lit traffic crosses over a body of water toward a city with many tall buildings lit at night.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://media.timeout.com/images/105483061/750/562/image.jpg,2024-08-10T15:23:51.932645,"A large island city is surrounded by water, with many tall buildings.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://cdn.shopify.com/s/files/1/0319/8721/files/united-states-fun-facts.jpg?v=1677136981,2024-08-10T15:23:51.932645,An aerial view of a city with many tall buildings and a bridge spanning a body of water.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://i.pinimg.com/736x/c0/54/e4/c054e459e59d0aba1d323d8b2a9eb323.jpg,2024-08-10T15:23:51.932645,Many tall buildings are lit up by the setting sun next to a waterway with multiple bridges.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://loveincorporated.blob.core.windows.net/contentimages/gallery/6982030c-0507-4c72-b1d6-1459f98690dc-16-seattle-washington.jpg,2024-08-10T15:23:51.932645,"A large city with tall buildings, a tower with an observation deck, and a snow-capped mountain in the distance.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://media.istockphoto.com/id/615398376/photo/new-york-city-nyc-usa.jpg?s=612x612&w=0&k=20&c=rlrsrt4jbORPDSOW5df06Ik_X_5iQo1rYQd53xSs4nw=,2024-08-10T15:23:51.932645,A city skyline with many tall buildings and a setting sun in the background.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.telegraph.co.uk/content/dam/travel/2023/05/15/TELEMMGLPICT000335706270_trans_NvBQzQNjv4BqpVlberWd9EgFPZtcLiMQf0Rf_Wk3V23H2268P_XkPxc.jpeg,2024-08-10T15:23:51.932645,"A large city with many tall buildings, numerous roads, and green trees.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,"https://cdn.contexttravel.com/image/upload/w_1500,q_60/v1663187430/blog/10%20Historical%20U.S.%20Cities%20to%20Visit%20/hero_US_cities.jpg",2024-08-10T15:23:51.932645,A narrow street lined with brick buildings and trees leads to a view of two tall buildings in the distance.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://cdn.eventegg.com//images/travel/3/66/new-york-city-cityscape.jpg,2024-08-10T15:23:51.932645,"A large, female statue stands in the foreground with numerous buildings behind it.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://media.timeout.com/images/105483069/750/562/image.jpg,2024-08-10T15:23:51.932645,"A large, smooth, metallic sculpture sits in front of a city skyline.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Above_Gotham.jpg/240px-Above_Gotham.jpg,2024-08-10T15:23:51.932645,A large city with many tall buildings is shown from above.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://thumbor.bigedition.com/pittsburgh-pennsylvania/rPRxVFXXQbaHhJ6FhJtJlREvDzs=/800x0/filters:quality(80)/granite-web-prod/ba/b7/bab76df497124d639ff07b4eb9393ddd.jpeg,2024-08-10T15:23:51.932645,A large city is on a peninsula with a fountain in the middle of a park.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.thoughtco.com/thmb/sZESJ1y4bC-Yn-DXm08yPsjkZ5Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/151892667-58b9cc6d3df78c353c37e33a.jpg,2024-08-10T15:23:51.932645,A view from a high vantage point shows a densely populated city surrounded by mountains.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://ahaslides.com/wp-content/uploads/2023/07/best_us_cities_main_image.jpg.webp,2024-08-10T15:23:51.932645,A large statue holding a torch stands in front of a city skyline.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://images.crowdspring.com/blog/wp-content/uploads/2017/07/27130733/pedro-lastra-152876-unsplash.jpg,2024-08-10T15:23:51.932645,A river flows through a city with tall buildings lit by lights.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://media.timeout.com/images/105483072/750/562/image.jpg,2024-08-10T15:23:51.932645,"A city skyline with tall buildings, a body of water, and boats in the foreground.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://worldwildschooling.com/wp-content/uploads/2024/02/Most-Beautiful-Cities-in-the-U.S._Philadelphia-Pennsylvania_SeanPavonePhoto_AdobeStock_182152454-1024x576.jpg,2024-08-10T15:23:51.932645,"A cityscape of tall buildings is reflected in the still water of a river, with a pathway running along the riverbank.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://img.freepik.com/free-photo/midtown-manhattan-new-york-city-usa_181624-12210.jpg?size=626&ext=jpg&ga=GA1.1.2008272138.1723248000&semt=ais_hybrid,2024-08-10T15:23:51.932645,A high angle view of a densely populated city with tall buildings.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.pewtrusts.org/-/media/post-launch-images/2016/12/chicago_skyline/chicago_skyline_16x9.jpg,2024-08-10T15:23:51.932645,A large city with tall buildings illuminated at dusk.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://qph.cf2.quoracdn.net/main-qimg-e3dfd73399fba1857831c0f4377e0e84-lq,2024-08-10T15:23:51.932645,A city skyline with many bright lights and fireworks exploding over the water.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://366e203a.rocketcdn.me/wp-content/uploads/2019/06/San-Francisco-California-United-States.jpg,2024-08-10T15:23:51.932645,A city with many buildings and a bridge in the distance.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://d.ibtimes.com/en/full/4505713/most-beautiful-cities-usa.jpg?w=736&f=bce6f4e113e74aa65ca238d738725e4b,2024-08-10T15:23:51.932645,A city with many tall buildings is illuminated by lights at dusk.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://w0.peakpx.com/wallpaper/493/370/HD-wallpaper-usa-love-city-new-york.jpg,2024-08-10T15:23:51.932645,A tall building is seen between two flags against a cloudy sky.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Downtown_Tampa_Skyline.jpg/240px-Downtown_Tampa_Skyline.jpg,2024-08-10T15:23:51.932645,Several tall buildings are clustered near a waterway with a bridge over it.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://travel.home.sndimg.com/content/dam/images/travel/fullset/2011/10/14/b5/idea_ss_top-10_US-tech-cities_007_596x334.rend.hgtvcom.616.347.suffix/1491587084943.jpeg,2024-08-10T15:23:51.932645,"A dense urban area with a vast amount of buildings, some tall and some short.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.worldatlas.com/r/w1200/upload/6d/c4/4f/shutterstock-519832504.jpg,2024-08-10T15:23:51.932645,"An aerial view of a large, green park surrounded by a city.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://cdn1.matadornetwork.com/blogs/1/2019/09/Phoenix-Arizona-USA-downtown-cityscape-at-dusk-1200x852.jpg,2024-08-10T15:23:51.932645,A skyline of tall buildings is seen in the distance with smaller houses and trees in the foreground.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.spendlifetraveling.com/wp-content/uploads/2021/10/most_beautiful_cities_in_the_us.jpg,2024-08-10T15:23:51.932645,A city skyline with tall buildings reflected in calm water.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.edarabia.com/wp-content/uploads/2018/10/10-best-student-cities-united-states-6.jpg,2024-08-10T15:23:51.932645,A collection of tall buildings stand along a body of water with a cloudy sky.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.infoplease.com/sites/infoplease.com/files/inline-images/Raleigh_NC_450.jpg,2024-08-10T15:23:51.932645,A city skyline with tall buildings at sunset.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://qph.cf2.quoracdn.net/main-qimg-5d0a90a5fa4202d41f21925ba47976c8-lq,2024-08-10T15:23:51.932645,A city skyline with numerous tall buildings and a bridge crossing over a river.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://images.saymedia-content.com/.image/ar_4:3%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_1200/MjAyNDY3ODQ2OTUxODA1OTY0/the-ten-most-historic-cities-in-the-united-states.jpg,2024-08-10T15:23:51.932645,"An aerial view of a city with tall buildings, a body of water, and a bright sky.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://i.insider.com/57c5cc1cdd089504668b4c39?width=750&format=jpeg&auto=webp,2024-08-10T15:23:51.932645,A waterway lined with restaurants and people sitting at tables with colorful umbrellas.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://signalscv.s3.us-west-1.amazonaws.com/wp-content/uploads/2023/12/24135454/eiffel-105506-800x600.jpg,2024-08-10T15:23:51.932645,"A large, lit city with many tall buildings and an illuminated object in the sky.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://bestlifeonline.com/wp-content/uploads/sites/3/2023/05/shutterstock_1600934344.jpg?quality=82&strip=all,2024-08-10T15:23:51.932645,"A large, open plaza with buildings around it and many trees in the center.",0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSISBloJsqKqWS9_up6JNjPpo8h5fPeDXGc4A&s,2024-08-10T15:23:51.932645,A vast urban area with many tall buildings is lit up at night.,0,0,0,0,0,,2024-08-11T16:23:09.426585
CITIES,US,https://www.infoplease.com/sites/infoplease.com/files/inline-images/Atlanta_GA_450.jpg,2024-08-10T15:23:51.932645,A large city with many tall buildings and a highway running through it.,0,0,0,0,0,,2024-08-11T16:23:09.426585
