category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
NATUR,US,https://www.travelandleisure.com/thmb/p7FzrRJ-byTS06u9kDuK0CHTgCU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/header-alaska-NATBEAUTYST0822-223ba2e56c134b3fa565f00d07838406.jpg,2024-08-10T16:05:19.710780,Purple flowers bloom in the foreground of a lake surrounded by lush green hills.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://media.timeout.com/images/105672332/750/562/image.jpg,2024-08-10T16:05:19.710780,A snow-capped mountain rises in the background behind a field of wildflowers.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://img2.10bestmedia.com/Images/Photos/382063/GettyImages-1182776320_55_660x440.jpg,2024-08-10T16:05:19.710780,A large waterfall flows over rocky cliffs with a rainbow in the mist.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://i.insider.com/59bfedd952d8fb1f318b48f7?width=800&format=jpeg&auto=webp,2024-08-10T16:05:19.710780,"A person is standing in a valley with layered, wavy rock formations.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://freedomdestinations.co.uk/wp-content/uploads/Yellowstone-National-Park.jpg,2024-08-10T16:05:19.710780,A large body of water surrounded by brightly colored rocks and trees.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://media.timeout.com/images/105672883/750/562/image.jpg,2024-08-10T16:05:19.710780,"Two large, rocky formations stand tall against a bright, pink and orange sky.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://cdn1.matadornetwork.com/blogs/1/2020/09/Yosemite.jpg,2024-08-10T16:05:19.710780,"A valley with tall, rocky cliffs on either side is covered in a forest of evergreen trees.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://travel.home.sndimg.com/content/dam/images/travel/stock/2016/9/9/0/GettyImages-SapnaReddyPhotography-459319033_Yosemite.jpg.rend.hgtvcom.1280.853.suffix/1491594411873.jpeg,2024-08-10T16:05:19.710780,A valley surrounded by large cliffs and filled with fog and trees.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://passingthru.com/wp-content/uploads/2018/03/Reflection-Fall-Washington-State-Mountains-Water-505423.jpg,2024-08-10T16:05:19.710780,A body of water reflects the colors of a forested hillside.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://www.treehugger.com/thmb/xLiJkxhjYLWR3AxrptHX_N-SNus=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/YosemiteLead-967f12ff0d3747cda11d70b668d66844.jpg,2024-08-10T16:05:19.710780,"A large body of water flows through a valley surrounded by tall, rocky cliffs and dense green vegetation.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://www.tripsavvy.com/thmb/x7DpIlMikbMulVZJ59I9OtPBeP0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/DSCF8159-5567a4ada78e4cca9e92126a9789d64d.jpg,2024-08-10T16:05:19.710780,"The image shows a steep valley with rocky cliffs on either side, covered in vegetation.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://www.travelandleisure.com/thmb/UbvZukWEYdb8x7FbiJHC7RgfWSg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/garden-of-the-gods-colorado-BEAUTYSTS0522-17d3f1da19434e11a1def9559e8e6997.jpg,2024-08-10T16:05:19.710780,"A large, rocky landscape with a variety of trees and plants is lit by the warm light of the setting sun.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://loveincorporated.blob.core.windows.net/contentimages/gallery/f9e60090-883e-44b1-8fa6-1afae17a5891-3-grand-prismatic.jpg,2024-08-10T16:05:19.710780,"A large, circular, blue pool of water is surrounded by colorful mineral deposits and trees.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://cdn1.matadornetwork.com/blogs/1/2010/05/Surise-at-Crater-Lake-National-Park-Oregon-Mount-Mazama.jpg,2024-08-10T16:05:19.710780,"A snowy, rocky mountainside overlooking a large body of water with a small island in the center.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://i2.cdn.turner.com/cnn/interactive/2014/07/travel/50-states-natural-wonders/media/1280/south-dakota.jpg,2024-08-10T16:05:19.710780,A range of layered rock formations are illuminated by the sun.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://sevenwonders.org/wp-content/uploads/2018/06/Denali.jpg,2024-08-10T16:05:19.710780,A winding dirt road leads toward a large snow-capped mountain range with clouds.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://natureconservancy-h.assetsadobe.com/is/image/content/dam/tnc/nature/en/photos/t/n/tnc_89674344.jpg?crop=240%2C0%2C2400%2C1320&wid=4000&hei=2200&scl=0.6,2024-08-10T16:05:19.710780,A view from a high cliff overlooking a valley with a stream running through it.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://img1.10bestmedia.com/WebStories/19877/36854.jpg,2024-08-10T16:05:19.710780,"A view of a large canyon with tall, thin, red rock formations, some topped with trees.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://blog-api.culturalcare.world/app/uploads/2019/06/10-Epic-Nature-Escapes-in-US-2.jpg,2024-08-10T16:05:19.710780,A view from a forested hillside into a valley with steep cliffs.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://www.qantas.com/content/travelinsider/en/explore/north-america/usa/best-natural-wonders-and-national-parks-lakes-us-america/jcr:content/verticalGalleryMain/gallery/galleryItems/330_1692674953160.img.480.medium.jpg/1715749829385.jpg,2024-08-10T16:05:19.710780,A river flows through a canyon shaped like a horseshoe.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://media.cntraveler.com/photos/5bb4f467db225a4f50684c9f/master/w_320%2Cc_limit/Hanging-Lake-GettyImages-688127462.jpg,2024-08-10T16:05:19.710780,A clear blue pool of water sits at the base of a rocky cliff with a cascading waterfall flowing into it.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://i.insider.com/5669bb8ddd08956c3c8b45e3?width=600&format=jpeg&auto=webp,2024-08-10T16:05:19.710780,A body of water flows in front of a forested island with trees of various colors.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://img2.10bestmedia.com/Images/Photos/382106/GettyImages-512495588_55_660x440.jpg,2024-08-10T16:05:19.710780,Several tall rock formations stand in a desert landscape at sunset.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://i2.cdn.turner.com/cnn/interactive/2014/07/travel/50-states-natural-wonders/media/1280/oregon.jpg,2024-08-10T16:05:19.710780,A large body of water surrounded by mountains and a single island in the middle.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-o5OL3EwJNvIrZVban-vKRSOIpKVr8doI6g&s,2024-08-10T16:05:19.710780,Sunlight shines through clouds onto a valley with tall cliffs and a waterfall.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://hips.hearstapps.com/hmg-prod/images/most-beautiful-places-in-the-us-vermont-foliage-1578086980.jpg,2024-08-10T16:05:19.710780,A still body of water reflects the colors of an autumnal forest.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://149895370.v2.pressablecdn.com/wp-content/uploads/2016/09/58-National-Parks-1600px.jpg,2024-08-10T16:05:19.710780,A river winds its way through a canyon carved into red rock cliffs.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://media.cntraveler.com/photos/6488ae949a743d1dc8c75854/master/w_320%2Cc_limit/Glacier-National-Park-GettyImages-902010134.jpg,2024-08-10T16:05:19.710780,"A field of purple flowers sits in a valley between two tall mountains, one of which is covered in snow.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://www.qantas.com/content/travelinsider/en/explore/north-america/usa/best-natural-wonders-and-national-parks-lakes-us-america/jcr:content/verticalGalleryMain/gallery/galleryItems/331_1692674971658.img.480.medium.jpg/1692674994255.jpg,2024-08-10T16:05:19.710780,A body of water surrounded by mountains and trees with a blue sky above.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://ecophiles.com/wp-content/uploads/2018/07/3-Elk_at_Big_Spring_Creek_Great_Sand_Dunes_National_Park.jpg,2024-08-10T16:05:19.710780,A large mammal with antlers stands in a shallow stream in front of a mountain range with snow-capped peaks.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://i.insider.com/5669bb8ddd08956c3c8b45e1?width=800&format=jpeg&auto=webp,2024-08-10T16:05:19.710780,A person stands next to several very tall and thick trees in a forest.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://passingthru.com/wp-content/uploads/2018/03/yosemite-2236023_1920-1024x715.jpg.webp,2024-08-10T16:05:19.710780,"A body of water sits in front of two large, rocky cliffs with a forest in the foreground.",0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://www.travelandleisure.com/thmb/PCe8wHCZrgvVR6QRwIs2uB_bjKk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/wrangell-st-elias-national-park-alaska-BEAUTYSTS0522-aa733bbb6af64cd4b64d2672a30bc8ac.jpg,2024-08-10T16:05:19.710780,A forest filled with tall trees and a winding waterway sits at the foot of a snow-capped mountain range.,0,0,0,0,0,,2024-08-11T16:23:31.355759
NATUR,US,https://loveincorporated.blob.core.windows.net/contentimages/gallery/368a2063-0f46-485e-95d3-4aa66237b2eb-9-glacier-national-park-montana.jpg,2024-08-10T16:05:19.710780,A body of water nestled between snow-capped mountains and evergreen trees.,0,0,0,0,0,,2024-08-11T16:23:31.355759
