category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,US,https://www.fairus.org/sites/default/files/styles/videos_1023x567/public/images/Human%20crowd%20forming%20on%20United%20States%20map.jpeg.webp?itok=YDFS8DKA,2024-08-10T16:16:01.705950,A large group of people form the shape of a continent against a striped background with white stars.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://media.aflegal.org/wp-content/uploads/2024/06/18123123/AdobeStock_699887654-1024x444.jpeg,2024-08-10T16:16:01.705950,A striped pattern is overlaid with the silhouettes of people.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://www.chcf.org/wp-content/uploads/2022/05/US-map-of-people_Topper.jpg,2024-08-10T16:16:01.705950,An outline of a landmass is filled with the faces of many people.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://today.usc.edu/wp-content/uploads/2021/06/TFM-SUM21-Schools-LyonsMoore-feat-768x432.jpg,2024-08-10T16:16:01.705950,Four stylized faces are positioned against a striped flag and a book.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://bruinpoliticalreview.org/assets/img/us-people.jpg,2024-08-10T16:16:01.705950,"A group of people are gathered outside, holding flags and smiling.",0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://www.agriculture.com/thmb/lHvGIm6ns2fMuf9rc3FGuC6h3W4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/iStock-4732901802028revised29-cdd598ff552146009ff0bbcc305ab850.jpg,2024-08-10T16:16:01.705950,Two people are shaking hands in front of two flags.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://www.niacouncil.org/wp-content/uploads/2024/04/WOA-Volunteers-on-the-HIll.jpg,2024-08-10T16:16:01.705950,A group of people stand in front of a large building.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://www.aaaed.org/images/aaaed/About_Us_About_Affirmative_Action/About%20Us%20About%20Affirmative%20Action%20Johnson%20and%20voting%20rights.png,2024-08-10T16:16:01.705950,A group of people in suits and dresses stand together in a formal setting.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://img.oercommons.org/780x780/thecb-production/media/courseware/lesson/image/fa340e50-d48a-4d2a-8679-f7fead39492d.jpg,2024-08-10T16:16:01.705950,A man in a suit raises his right hand in front of a large crowd and a building.,0,0,0,0,0,,2024-08-11T16:23:35.715038
PEOPLE,US,https://images.ctfassets.net/ukazlt65o6hl/45OaAaVFOtFmFogUCSxQS3/ede3a3191b9188e2be0c520adcd43b63/Federal_CX.jpg?w=750&h=499&fl=progressive&q=70&fm=jpg,2024-08-10T16:16:01.705950,A large building with columns and a dome sits under a blue sky with symbols floating above it.,0,0,0,0,0,,2024-08-11T16:23:35.715038
