category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
TOOLS,US,https://food.unl.edu/newsletters/images/kitchen-tools.jpg,2024-08-10T16:38:52.222533,A group of various kitchen tools are spread across a white surface.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/26365426_fpx.tif?$filterlrg$&wid=327,2024-08-10T16:38:52.222533,A set of five kitchen tools with red handles.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://qark-images.wsimgs.com/wsimgs/qark/images/dp/wcm/202419/0004/greenpan-silicone-utensils-set-of-7-c.jpg,2024-08-10T16:38:52.222533,Seven kitchen utensils are laid out on a counter top.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://target.scene7.com/is/image/Target/GUEST_2524d7c4-cc24-4dac-a72d-613e013a4ff3,2024-08-10T16:38:52.222533,"A collection of kitchen utensils, including a pair of scissors, a grater, a bottle opener, and several spatulas and knives.",0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://m.media-amazon.com/images/I/61xJ1hbTMTL.jpg,2024-08-10T16:38:52.222533,"A set of twelve metal utensils are arranged on a white surface, with some placed in a metal holder.",0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://img.kwcdn.com/product/fancy/6e250819-dfb8-491b-a501-454dd05cc736.jpg?imageView2/2/w/500/q/60/format/webp,2024-08-10T16:38:52.222533,A set of various kitchen utensils with long handles.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202411/0007/greenpan-silicone-utensils-set-of-7-j.jpg,2024-08-10T16:38:52.222533,A set of kitchen utensils are arranged on a white surface with various food items.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://www.oxo.com/media/catalog/product/cache/0896d24226ba929ed2cdc43dc64054aa/g/g/gg_11329800_042821_comp_rgb_1_.jpg,2024-08-10T16:38:52.222533,Five utensils and a container are on a white surface.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://www.foodandwine.com/thmb/ILykWESXzQ48gdZrH-5iz8BXKXk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/faw-cooking-utensils-sets-test-misen-jennifer-zyman-13_crop-5af5fc028df14f85bf3d6d9341a25b3e.jpeg,2024-08-10T16:38:52.222533,A collection of kitchen utensils are spread out on a wooden surface.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://cb.scene7.com/is/image/Crate/CBAcaciaUtensilsFSSF23/$web_plp_card_mobile$/240201142822/crate-and-barrel-acacia-tools.jpg,2024-08-10T16:38:52.222533,A set of cooking tools with long handles made of a light brown material are arranged on a white surface.,0,0,0,0,0,,2024-08-11T16:23:47.495605
TOOLS,US,https://www.pamperedchef.com/iceberg/home/aug-24/silly-bois.jpg,2024-08-10T16:38:52.222533,Three kitchen utensils with black handles lay on a white surface.,0,0,0,0,0,,2024-08-11T16:23:47.495605
