category_code,country_code,url,created_at,isEnglish,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
NATUR,NGA,https://www.bornfreeusa.org/wp-content/uploads/blog-nigeria-nature-priority-post.jpg,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://media.istockphoto.com/id/1213593842/photo/idanre-hills-pano.jpg?s=612x612&w=0&k=20&c=CGS9BYmuKUd8KNR5M7k2wNGNZ6J-t8b_OVef43EM6zo=,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPMJ2o_McRh4jlDWiM2QQhGWrPnjUTFq7GOw&s,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://www.travelstart.com.ng/blog/wp-content/uploads/2019/07/GettyImages-1134519127-1.jpg,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://upload.wikimedia.org/wikipedia/commons/e/e6/Benin_nigeria_-explorenigeria.jpg,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/88/2e/14/wooden-walkway.jpg?w=500&h=500&s=1,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://i.ytimg.com/vi/17eBIXFkzlA/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCg6Zig0XdA2NN_t4j3RMnEfZlO7g,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://images.theconversation.com/files/324213/original/file-20200331-65503-16urcci.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=926&fit=clip,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://upload.wikimedia.org/wikipedia/commons/7/70/Kwafalls.jpg,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://i.ytimg.com/vi/TnNa_3LENSM/sddefault.jpg,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://nigeriatravelsandtours.com/wp-content/uploads/2021/11/49-1024x768.jpg,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
NATUR,NGA,https://lh3.googleusercontent.com/HEoeBjtue2XxNoaojDDrLNo8TcsHfRgbhCL9YW2gf83mgS9TNmdCGSIQCXmEUm84Q87RgmT7Amku48XB9dpXPtuH=s900,2024-08-10T05:59:27.863184,True,,0,0,0,0,0,,
